"Year","Area","Degree of urbanisation, %"
"2023","MK05 Kanta-Häme",83.1
"2023","MK06 Pirkanmaa",89.1
"2023","MK07 Päijät-Häme",87.9
"2023","MK08 Kymenlaakso",88.5
"2023","MK09 South Karelia",84.3
"2023","MK10 South Savo",72.5
"2023","MK11 North Savo",77.4
"2023","MK12 North Karelia",74.3
"2023","MK13 Central Finland",82.2
"2023","MK14 South Ostrobothnia",74.5
"2023","MK15 Ostrobothnia",85.1
"2023","MK16 Central Ostrobothnia",80.3
"2023","MK17 North Ostrobothnia",85.0
"2023","MK18 Kainuu",75.3
"2023","MK19 Lapland",78.4
"2023","MA2 ÅLAND",64.2
"2023","SA5 Åland",64.2
"2023","MK21 Åland",64.2
"2023","YTA1 Southern Finland collaborative area",94.0
"2023","YTA2 Eastern Finland collaborative area",77.6
"2023","YTA3 Inland Finland collaborative area",84.9
"2023","YTA4 Western Finland collaborative area",85.6
"2023","YTA5 Northern Finland collaborative area",82.0
"2023","YTA6 Åland",64.2
"2023","HVA01 East Uusimaa wellbeing services county",79.6
"2023","HVA02 Central Uusimaa wellbeing services county",92.0
"2023","HVA03 West Uusimaa wellbeing services county",93.3
"2023","HVA04 Vantaa and Kerava wellbeing services county",99.8
"2023","HVA05 Southwest Finland wellbeing services county",86.5
"2023","HVA06 Satakunta wellbeing services county",84.1
"2023","HVA07 Kanta-Häme wellbeing services county",83.1
"2023","HVA08 Pirkanmaa wellbeing services county",89.1
"2023","HVA09 Päijät-Häme wellbeing services county",87.9
"2023","HVA10 Kymenlaakso wellbeing services county",88.5
"2023","HVA11 South Karelia wellbeing services county",84.3
"2023","HVA12 South Savo wellbeing services county",72.5
"2023","HVA13 North Savo wellbeing services county",77.4
"2023","HVA14 North Karelia wellbeing services county",74.3
"2023","HVA15 Central Finland wellbeing services county",82.2
"2023","HVA16 South Ostrobothnia wellbeing services county",74.5
"2023","HVA17 Ostrobothnia wellbeing services county",85.1
"2023","HVA18 Central Ostrobothnia wellbeing services county",80.3
"2023","HVA19 North Ostrobothnia wellbeing services county",85.0
"2023","HVA20 Kainuu wellbeing services county",75.3
"2023","HVA21 Lapland wellbeing services county",78.4
"2023","HVA90 City of Helsinki",99.9
"2023","HVA91 Åland",64.2
"2023","SK011 Helsinki",97.3
"2023","SK014 Raasepori",76.8
"2023","SK015 Porvoo",80.8
"2023","SK016 Loviisa",67.9
"2023","SK021 Åboland-Turunmaa",61.0
"2023","SK022 Salo",73.4
"2023","SK023 Turku",94.3
"2023","SK024 Vakka-Suomi",68.0
"2023","SK025 Loimaa",62.2
"2023","SK041 Rauma",83.6
"2023","SK043 Pori",87.7
"2023","SK044 Pohjois-Satakunta",59.4
"2023","SK051 Hämeenlinna",85.4
"2023","SK052 Riihimäki",84.4
"2023","SK053 Forssa",74.4
"2023","SK061 Luoteis-Pirkanmaa",61.0
"2023","SK063 Etelä-Pirkanmaa",84.1
"2023","SK064 Tampere",93.2
"2023","SK068 Lounais-Pirkanmaa",64.8
"2023","SK069 Ylä-Pirkanmaa",64.6
"2023","SK071 Lahti",87.9
"2023","SK081 Kouvola",86.1
"2023","SK082 Kotka-Hamina",90.9
"2023","SK091 Lappeenranta",84.9
"2023","SK093 Imatra",82.8
"2023","SK101 Mikkeli",74.5
"2023","SK103 Savonlinna",71.0
"2023","SK105 Pieksämäki",69.2
"2023","SK111 Ylä-Savo",60.1
"2023","SK112 Kuopio",86.5
"2023","SK113 Koillis-Savo",42.8
"2023","SK114 Varkaus",77.8
"2023","SK115 Sisä-Savo",58.1
"2023","SK122 Joensuu",79.1
"2023","SK124 Keski-Karjala",46.3
"2023","SK125 Pielisen Karjala",65.5
"2023","SK131 Jyväskylä",89.6
"2023","SK132 Joutsa",50.3
"2023","SK133 Keuruu",68.4
"2023","SK134 Jämsä",74.4
"2023","SK135 Äänekoski",72.2
"2023","SK138 Saarijärvi-Viitasaari",54.0
"2023","SK141 Suupohja",63.4
"2023","SK142 Seinäjoki",81.2
"2023","SK144 Kuusiokunnat",56.7
"2023","SK146 Järviseutu",57.9
"2023","SK152 Vaasa",89.4
"2023","SK153 Sydösterbotten",66.3
"2023","SK154 Jakobstadsregionen",81.9
"2023","SK161 Kaustinen",52.2
"2023","SK162 Kokkola",87.8
"2023","SK171 Oulu",94.7
"2023","SK173 Oulunkaari",62.5
"2023","SK174 Raahe",79.3
"2023","SK175 Haapavesi-Siikalatva",55.7
"2023","SK176 Nivala-Haapajärvi",60.7
"2023","SK177 Ylivieska",75.5
"2023","SK178 Koillismaa",61.8
"2023","SK181 Kehys-Kainuu",62.1
"2023","SK182 Kajaani",80.2
"2023","SK191 Rovaniemi",88.5
"2023","SK192 Kemi-Tornio",87.6
"2023","SK193 Torniolaakso",50.9
"2023","SK194 Itä-Lappi",55.9
"2023","SK196 Tunturi-Lappi",51.1
"2023","SK197 Pohjois-Lappi",61.0
"2023","SK211 Mariehamns stad",99.3
"2023","SK212 Ålands landsbygd",46.9
"2023","SK213 Ålands skärgård",0.0
"2023","ELY01 Uusimaa ELY Centre",96.0
"2023","ELY02 Southwest Finland ELY Centre",86.5
"2023","ELY03 Satakunta ELY Centre",84.1
"2023","ELY04 Häme ELY Centre",85.7
"2023","ELY05 Pirkanmaa ELY Centre",89.1
"2023","ELY06 Southeast Finland  ELY Centre",86.6
"2023","ELY07 South Savo ELY Centre",72.5
"2023","ELY08 North Savo ELY Centre",77.4
"2023","ELY09 North Karelia ELY Centre",74.3
"2023","ELY10 Central Finland ELY Centre",82.2
"2023","ELY11 South Ostrobothnia ELY Centre",74.5
"2023","ELY12 Ostrobothnia ELY Centre",83.8
"2023","ELY13 North Ostrobothnia ELY Centre",85.0
"2023","ELY14 Kainuu ELY Centre",75.3
"2023","ELY15 Lapland ELY Centre",78.4
"2023","ELY16 Åland",64.2
"2023","AVI1 Southern Finland AVI",93.3
"2023","AVI2 Southwestern Finland AVI",85.8
"2023","AVI3 Eastern Finland AVI",75.3
"2023","AVI4 Western and Inland Finland AVI",84.3
"2023","AVI5 Northern Finland AVI",83.6
"2023","AVI6 Lapland AVI",78.4
"2023","AVI7 State Department of Åland",64.2
"2023","TK1 Urban municipalities",95.1
"2023","TK2 Semi-urban municipalities",74.8
"2023","TK3 Rural municipalities",53.9
"2023","VP01 Helsinki constituency",99.9
"2023","VP02 Uusimaa constituency",93.5
"2023","VP03 Varsinais-Suomi constituency",86.5
"2023","VP04 Satakunta constituency",84.1
"2023","VP06 Häme constituency",85.7
"2023","VP07 Pirkanmaa constituency",89.1
"2023","VP08 Southeast Finland constituency",82.2
"2023","VP09 Savo-Karelia constituency",76.2
"2023","VP10 Vaasa constituency",79.7
"2023","VP11 Central Finland constituency",82.2
"2023","VP12 Oulu constituency",83.6
"2023","VP13 Lapland constituency",78.4
"2023","VP05 Åland constituency",64.2
"2023","PL5500 Helsinki Police Department",99.9
"2023","PL5530 Western Uusimaa Police Department",93.3
"2023","PL5560 Eastern Uusimaa Police Department",93.7
"2023","PL5590 Häme Police Department",85.7
"2023","PL5620 Southeastern Finland Police Department",86.6
"2023","PL5650 Southwestern Finland Police Department",85.8
"2023","PL5680 Central Finland Police Department",86.8
"2023","PL5710 Ostrobothnia Police Department",79.7
"2023","PL5740 Eastern Finland Police Department",75.3
"2023","PL5770 Oulu Police Department",83.6
"2023","PL5800 Lapland Police Department",78.4
"2023","PL5830 Ålands polismyndighet",64.2
"2023","HO1 Helsinki Court of Appeal",95.9
"2023","HO2 Turku Court of Appeal",86.6
"2023","HO3 Eastern Finland Court of Appeal",81.0
"2023","HO4 Vaasa Court of Appeal",81.5
"2023","HO6 Rovaniemi Court of Appeal",82.2
"2023","KO706 Helsinki District Court",99.9
"2023","KO708 Kanta-Häme District Court",83.1
"2023","KO713 North Karelia District Court",74.3
"2023","KO715 Central Finland District Court",82.2
"2023","KO717 Kainuu District Court",75.3
"2023","KO725 Kymenlaakso District Court",88.9
"2023","KO726 North Savo District Court",77.4
"2023","KO729 Päijät-Häme District Court",87.9
"2023","KO730 Lapland District Court",78.4
"2023","KO731 South Karelia District Court",84.3
"2023","KO736 South Savo District Court",72.5
"2023","KO742 Oulu District Court",85.0
"2023","KO747 Satakunta District Court",84.1
"2023","KO748 Eastern Uusimaa District Court",93.5
"2023","KO750 Western Uusimaa District Court",93.3
"2023","KO757 South Ostrobothnia District Court",74.5
"2023","KO758 Pirkanmaa District Court",89.1
"2023","KO761 Southwest Finland District Court",86.5
"2023","KO764 Ostrobothnia District Court",83.8
"2023","KO769 Åland District Court",64.2
"2023","FI1 MAINLAND FINLAND",87.3
"2023","FI19 Western Finland",84.5
"2023","FI198 Central Finland",82.2
"2023","FI199 South Ostrobothnia",74.5
"2023","FI19A Ostrobothnia",85.1
"2023","FI196 Satakunta",84.1
"2023","FI19B Pirkanmaa",89.1
"2023","FI1B Helsinki-Uusimaa",96.0
"2023","FI1B1 Helsinki-Uusimaa",96.0
"2023","FI1C Southern Finland",86.3
"2023","FI1C1 Southwest Finland",86.5
"2023","FI1C2 Kanta-Häme",83.1
"2023","FI1C6 Päijät-Häme",87.9
"2023","FI1C7 Kymenlaakso",88.5
"2023","FI1C5 South Karelia",84.3
"2023","FI1D Northern and Eastern Finland",79.2
"2023","FI1DA South Savo",72.5
"2023","FI1DB North Savo",77.4
"2023","FI1DC North Karelia",74.3
"2023","FI1D5 Central Ostrobothnia",80.3
"2023","FI1D7Lapland",78.4
"2023","FI1D8 Kainuu",75.3
"2023","FI1D9 North Ostrobothnia",85.0
"2023","FI2 ÅLAND",64.2
"2023","FI20 Åland",64.2
"2023","FI200 Åland",64.2
