Constituency_Year,SDP,KOK,KESK,PS,VAS,VIHR,RKP,KD,Others,Other party,SKS (2007),SKP,LIB (2007),LIIKE,KaL,Pirate Pty,SEP (1999)
Isokyrö_1983,450,890,1325,437,195,0,4,107,0,0,0,0,0,0,0,0,0
Isokyrö_1987,387,891,1693,120,106,24,10,79,0,66,0,0,6,0,0,0,19
Isokyrö_1991,351,585,2031,123,99,40,4,81,0,1,0,0,5,0,0,0,7
Isokyrö_1995,516,479,1794,58,90,39,8,89,1,2,22,0,2,0,86,0,6
Isokyrö_1999,341,760,1440,151,110,29,11,129,4,0,0,14,0,0,6,0,0
Isokyrö_2003,378,606,1495,167,98,36,11,132,0,0,0,8,0,0,15,0,0
Isokyrö_2007,319,653,1370,201,90,33,9,121,0,0,0,2,0,0,11,0,0
Isokyrö_2011,344,587,966,584,81,41,9,158,0,0,0,1,0,0,5,9,0
Isokyrö_2015,269,531,1118,564,45,58,19,102,0,0,0,3,0,0,9,11,0
Isokyrö_2019,315,538,808,588,62,63,25,153,9,0,0,3,0,0,4,7,0
Isokyrö_2023,282,496,733,727,43,37,22,143,0,0,0,1,0,54,1,0,0
Jaala -09_1983,232,274,447,240,88,0,0,24,6,0,0,0,0,0,0,0,0
Jaala -09_1987,206,265,454,134,46,28,1,27,2,33,0,0,3,0,0,0,14
Jaala -09_1991,200,210,528,52,44,41,0,34,0,0,0,0,0,0,0,0,7
Jaala -09_1995,318,217,436,10,58,52,0,32,5,0,6,0,2,0,15,0,0
Jaala -09_1999,264,197,470,5,52,45,0,30,2,0,0,6,0,0,2,0,0
Jaala -09_2003,249,181,483,6,43,30,0,22,0,0,0,6,2,0,5,0,0
Jaala -09_2007,217,242,369,74,45,35,0,40,0,0,0,2,0,0,1,0,0
Jalasjärvi -16_1983,764,1784,2734,856,318,0,4,162,0,0,0,0,0,0,0,0,0
Jalasjärvi -16_1987,527,1430,2578,1330,219,54,9,146,0,46,0,0,14,0,0,0,26
Jalasjärvi -16_1991,411,1000,3253,929,190,78,4,95,0,5,0,0,12,0,0,0,19
Jalasjärvi -16_1995,680,806,3534,258,193,85,5,95,0,5,14,0,1,0,14,0,8
Jalasjärvi -16_1999,472,806,2957,363,143,48,3,109,1,0,0,6,8,0,65,0,0
Jalasjärvi -16_2003,470,761,2933,374,122,65,10,154,0,0,0,10,3,0,30,0,0
Jalasjärvi -16_2007,412,1367,2376,378,101,43,9,130,0,0,0,2,0,0,16,0,0
Jalasjärvi -16_2011,402,788,2023,1010,125,30,8,153,0,0,0,0,0,0,76,6,0
Jalasjärvi -16_2015,352,869,1906,933,78,61,7,96,0,0,0,2,0,0,36,13,0
Janakkala_1983,3992,2070,1498,701,1117,0,9,193,118,0,0,0,0,0,0,0,0
Janakkala_1987,3541,2109,1432,299,1093,322,7,173,0,117,0,0,18,0,0,0,91
Janakkala_1991,3082,1662,1932,163,898,506,0,186,0,15,0,0,14,0,0,0,18
Janakkala_1995,3367,1744,1679,36,1097,414,0,238,0,15,145,0,5,0,35,0,10
Janakkala_1999,2734,1401,1656,9,807,583,0,618,25,0,35,59,5,0,7,0,0
Janakkala_2003,2953,1444,1857,25,682,472,0,535,4,0,0,112,11,0,14,0,0
Janakkala_2007,2982,1364,2088,168,609,597,0,489,3,0,4,61,4,0,6,0,0
Janakkala_2011,2889,1507,1177,1733,580,370,0,460,4,0,0,24,0,0,5,46,0
Janakkala_2015,2411,1428,1796,1768,530,397,0,384,0,0,0,13,0,0,31,63,0
Janakkala_2019,2186,1459,1181,1879,722,706,26,346,169,0,0,0,0,0,0,39,0
Janakkala_2023,2169,1614,891,2211,483,421,22,465,0,0,0,4,0,325,0,5,0
Joensuu_1983,8843,7840,3239,2671,2904,0,0,1338,0,90,0,0,0,0,0,0,0
Joensuu_1987,8661,7554,3333,1752,1051,635,0,962,342,1267,0,0,342,0,0,0,85
Joensuu_1991,7973,5449,5060,984,1359,1560,0,1187,0,235,0,0,298,0,0,0,56
Joensuu_1995,10964,5369,3950,211,1385,1985,0,1431,123,63,341,0,118,0,180,0,22
Joensuu_1999,10138,4812,4613,188,998,2024,0,1474,0,0,1150,253,17,0,71,0,21
Joensuu_2003,9924,4304,6411,194,1309,3182,0,1365,0,0,0,400,18,0,34,0,0
Joensuu_2007,9013,5217,7577,774,742,5470,0,898,0,0,0,283,0,0,60,0,0
Joensuu_2011,10908,5217,7756,8210,2058,3394,0,918,36,0,0,150,0,0,22,205,0
Joensuu_2015,7077,5042,10129,7344,2615,4431,0,1905,0,0,0,131,0,0,144,389,0
Joensuu_2019,9063,5021,7186,7122,2839,6267,0,2654,526,0,0,78,0,0,8,226,0
Joensuu_2023,10263,6410,6945,7458,2780,3825,31,2976,5,0,0,66,0,1034,0,114,0
Jokioinen_1983,838,503,1009,170,762,0,3,81,57,0,0,0,0,0,0,0,0
Jokioinen_1987,720,514,1175,85,721,91,5,71,0,78,0,0,4,0,0,0,22
Jokioinen_1991,805,408,1356,43,462,199,0,77,0,5,0,0,2,0,0,0,5
Jokioinen_1995,948,370,1156,18,455,228,0,94,0,4,43,0,0,0,34,0,6
Jokioinen_1999,706,371,1185,2,404,174,0,146,12,0,4,28,1,0,2,0,0
Jokioinen_2003,800,279,1162,7,522,124,0,154,0,0,0,21,4,0,3,0,0
