Constituency_Year,SDP,KOK,KESK,PS,VAS,VIHR,RKP,KD,Others,Other party,SKS (2007),SKP,LIB (2007),LIIKE,KaL,Pirate Pty,SEP (1999)
Kempele_1991,477,720,1812,147,763,260,0,50,0,18,0,0,289,0,0,0,0
Kempele_1995,798,611,1803,51,767,331,0,76,171,0,233,0,205,0,46,0,0
Kempele_1999,783,778,1937,18,810,398,0,97,0,0,53,113,29,0,42,0,12
Kempele_2003,959,821,2540,23,881,432,4,489,3,0,0,48,14,0,43,0,0
Kempele_2007,1036,1236,2722,181,1020,475,0,281,0,0,6,33,0,0,22,0,0
Kempele_2011,1035,1142,2576,1599,871,390,22,241,0,0,0,5,0,0,2,19,0
Kempele_2015,765,1190,3935,1330,791,415,50,98,0,0,0,10,0,0,53,20,0
Kempele_2019,1156,1318,2931,2074,895,574,16,238,222,0,0,1,0,0,12,29,0
Kempele_2023,1576,2098,2555,2577,589,373,20,236,0,0,0,2,0,118,0,0,0
Kerava_1983,4944,3770,731,1064,2033,0,260,429,620,17,0,0,0,0,0,0,0
Kerava_1987,4544,3957,570,680,1240,1119,255,446,169,599,0,0,396,0,0,0,94
Kerava_1991,3836,3497,1553,382,1130,1748,405,485,42,72,0,0,240,0,0,0,83
Kerava_1995,5572,2942,1070,68,1649,1307,423,407,255,111,790,0,66,0,96,0,41
Kerava_1999,3979,3717,1533,40,1716,1889,238,499,7,0,236,104,53,0,37,0,33
Kerava_2003,5230,3440,2140,157,1576,2029,217,796,20,0,12,99,113,0,111,0,0
Kerava_2007,4099,4487,2203,982,1367,2112,178,1022,11,0,0,80,7,0,79,0,0
Kerava_2011,4388,4700,1205,4155,1287,1817,155,707,9,0,0,56,0,0,29,121,0
Kerava_2015,3905,4101,2281,3818,1362,1877,363,597,16,0,0,39,0,0,97,221,0
Kerava_2019,3873,3789,1330,3731,1692,2521,288,622,872,0,0,44,0,0,26,161,0
Kerava_2023,4417,4464,1157,4311,1620,1479,273,744,11,0,0,12,0,776,1,26,0
Kerimäki -13_1983,985,672,1260,303,417,0,0,179,0,0,0,0,0,0,0,0,0
Kerimäki -13_1987,943,560,1364,300,192,48,0,132,0,134,0,0,18,0,0,0,9
Kerimäki -13_1991,943,394,1465,163,232,125,0,128,0,1,0,0,2,0,0,0,3
Kerimäki -13_1995,1187,354,1211,76,164,152,0,151,0,10,45,0,2,0,31,0,1
Kerimäki -13_1999,1016,363,1333,2,106,126,0,180,6,0,0,4,0,0,2,0,6
Kerimäki -13_2003,968,355,1411,8,104,126,0,128,0,0,0,18,2,0,6,0,0
Kerimäki -13_2007,716,365,1141,73,53,556,0,113,0,0,0,12,0,0,5,0,0
Kerimäki -13_2011,703,256,880,524,72,469,0,145,0,0,0,1,0,0,5,4,0
Kestilä -09_1983,185,83,762,174,197,0,0,17,0,1,0,0,0,0,0,0,0
Kestilä -09_1987,139,79,758,95,145,35,0,17,0,16,0,0,3,0,0,0,17
Kestilä -09_1991,103,45,800,42,118,36,0,19,0,2,0,0,9,0,0,0,0
Kestilä -09_1995,127,22,670,30,82,29,0,24,16,0,9,0,3,0,11,0,0
Kestilä -09_1999,93,24,654,10,84,17,0,17,0,0,5,12,0,0,12,0,5
Kestilä -09_2003,73,13,658,2,78,16,0,15,0,0,0,4,1,0,11,0,0
Kestilä -09_2007,67,25,575,35,79,16,0,13,0,0,1,6,0,0,6,0,0
Kesälahti -13_1983,575,301,727,199,73,0,0,125,0,2,0,0,0,0,0,0,0
Kesälahti -13_1987,488,268,763,134,44,20,0,88,10,16,0,0,6,0,0,0,5
Kesälahti -13_1991,442,138,786,152,22,37,0,109,0,3,0,0,2,0,0,0,8
Kesälahti -13_1995,485,121,655,78,21,38,0,128,1,5,4,0,1,0,10,0,4
Kesälahti -13_1999,497,128,599,12,32,42,0,102,0,0,20,3,0,0,5,0,3
Kesälahti -13_2003,465,114,664,35,14,39,0,80,0,0,0,4,0,0,2,0,0
Kesälahti -13_2007,441,115,521,38,23,97,0,49,0,0,0,3,0,0,1,0,0
Kesälahti -13_2011,243,116,461,325,24,32,0,51,0,0,0,1,0,0,0,4,0
Keuruu_1983,2510,1549,2000,697,837,0,9,252,120,3,0,0,0,0,0,0,0
Keuruu_1987,2399,1956,1277,493,573,175,7,290,0,121,0,0,72,0,0,0,80
Keuruu_1991,1949,619,3745,297,299,269,0,248,0,5,0,0,8,0,0,0,0
Keuruu_1995,2273,603,3349,23,403,220,0,235,0,12,38,0,127,0,25,0,0
Keuruu_1999,1241,678,4127,9,250,115,2,241,0,0,23,35,79,0,9,0,0
Keuruu_2003,1269,374,3922,15,266,154,0,286,0,0,0,33,42,0,10,0,0
Keuruu_2007,1383,574,2845,112,238,198,0,498,0,0,0,27,4,0,8,0,0
Keuruu_2011,1209,832,1998,1160,218,135,0,379,0,0,0,11,0,0,2,22,0
Keuruu_2015,978,644,2344,936,189,242,0,356,0,0,0,11,0,0,16,22,0
Keuruu_2019,1082,621,1423,1105,258,373,0,466,97,0,0,8,0,0,0,17,0
Keuruu_2023,1128,809,1108,1239,136,188,6,383,0,0,0,8,0,48,0,4,0
Kihniö_1983,365,340,447,449,55,0,0,180,2,0,0,0,0,0,0,0,0
Kihniö_1987,160,230,276,997,46,7,0,88,0,13,0,0,1,0,0,0,21
Kihniö_1991,136,136,401,811,30,22,0,131,0,1,0,0,0,0,0,0,1
Kihniö_1995,153,98,335,781,46,12,0,115,4,0,6,0,10,0,19,0,2
Kihniö_1999,132,133,563,197,104,25,0,142,5,0,5,5,3,0,3,0,5
Kihniö_2003,120,92,614,39,102,27,0,324,0,0,3,7,0,0,5,0,0
Kihniö_2007,115,96,363,596,11,21,0,118,0,0,0,33,1,0,1,0,0
Kihniö_2011,78,86,206,707,6,15,0,192,0,0,0,30,0,0,0,6,0
Kihniö_2015,92,49,373,597,15,14,0,91,1,0,0,4,0,0,4,3,0
Kihniö_2019,135,61,317,261,17,20,0,293,10,0,0,3,0,0,5,4,0
Kihniö_2023,99,43,140,572,19,8,0,216,0,0,0,0,0,13,0,0,0
Kiihtelysvaara -05_1983,340,163,564,223,84,0,0,107,0,1,0,0,0,0,0,0,0
Kiihtelysvaara -05_1987,349,120,601,190,29,11,0,80,17,40,0,0,1,0,0,0,3
Kiihtelysvaara -05_1991,314,75,703,97,62,36,0,92,0,12,0,0,2,0,0,0,0
Kiihtelysvaara -05_1995,472,166,523,40,38,50,0,155,0,2,11,0,0,0,12,0,2
Kiihtelysvaara -05_1999,389,125,593,17,23,32,0,93,0,0,24,5,1,0,5,0,0
Kiihtelysvaara -05_2003,418,63,659,15,27,74,0,63,0,0,0,3,1,0,4,0,0
Kiikala -09_1983,268,214,555,238,90,0,6,31,8,2,0,0,0,0,0,0,0
Kiikala -09_1987,233,207,541,179,68,21,2,24,0,15,0,0,3,0,0,0,19
Kiikala -09_1991,218,146,677,57,62,30,4,7,1,1,0,0,2,0,0,0,0
Kiikala -09_1995,212,165,586,14,64,32,5,16,2,2,42,0,0,0,14,0,0
Kiikala -09_1999,166,164,556,4,53,33,11,17,5,0,7,4,1,0,3,0,0
Kiikala -09_2003,205,152,544,6,41,34,13,35,2,0,10,4,3,0,6,0,0
Kiikala -09_2007,187,187,422,24,46,31,10,52,0,0,5,0,0,0,1,0,0
Kiikoinen -13_1983,159,250,336,117,60,0,0,53,1,0,0,0,0,0,0,0,0
Kiikoinen -13_1987,143,229,346,106,45,15,0,27,0,9,0,0,1,0,0,0,14
Kiikoinen -13_1991,114,161,455,46,30,41,0,18,0,0,0,0,0,0,0,0,12
Kiikoinen -13_1995,103,100,419,21,37,8,0,48,73,1,3,0,2,0,7,0,1
Kiikoinen -13_1999,65,124,419,4,44,16,0,61,16,0,0,2,0,0,0,0,0
Kiikoinen -13_2003,65,79,471,7,46,12,0,45,0,0,0,0,0,0,4,0,0
Kiikoinen -13_2007,69,123,386,42,35,12,0,34,0,0,0,2,0,0,1,0,0
Kiikoinen -13_2011,49,116,291,156,27,16,0,43,0,0,0,1,0,0,1,0,0
Kiiminki -13_1983,598,509,1081,528,789,0,0,127,0,1,0,0,0,0,0,0,0
Kiiminki -13_1987,641,555,1224,235,521,187,0,57,0,194,0,0,65,0,0,0,46
Kiiminki -13_1991,425,440,1689,124,762,225,0,90,0,15,0,0,195,0,0,0,0
Kiiminki -13_1995,669,383,1537,69,655,267,0,90,170,0,229,0,162,0,29,0,0
Kiiminki -13_1999,509,454,1735,55,903,333,0,97,0,0,51,74,52,0,21,0,5
Kiiminki -13_2003,744,477,2297,48,739,301,3,414,1,0,0,41,7,0,43,0,0
Kiiminki -13_2007,683,884,2250,184,819,382,0,142,0,0,5,5,0,0,15,0,0
Kiiminki -13_2011,600,894,1709,1598,722,276,9,126,1,0,0,2,0,0,0,13,0
Kinnula_1983,203,153,840,85,111,0,0,18,1,1,0,0,0,0,0,0,0
Kinnula_1987,166,157,840,74,133,14,0,5,0,4,0,0,0,0,0,0,6
Kinnula_1991,153,118,884,61,102,30,0,9,0,0,0,0,0,0,0,0,0
Kinnula_1995,222,79,763,7,90,26,0,43,0,2,7,0,1,0,12,0,0
Kinnula_1999,203,70,800,3,69,10,1,56,0,0,2,2,1,0,0,0,0
Kinnula_2003,150,60,814,4,57,14,0,43,0,0,0,4,0,0,2,0,0
Kinnula_2007,125,95,766,26,51,12,0,29,0,0,0,3,0,0,1,0,0
Kinnula_2011,143,160,580,131,40,10,0,18,0,0,0,5,0,0,0,1,0
Kinnula_2015,116,58,662,149,36,11,0,7,1,0,0,1,0,0,0,0,0
Kinnula_2019,118,54,505,180,41,3,0,21,9,0,0,0,0,0,0,2,0
Kinnula_2023,121,48,457,208,18,4,1,16,0,0,0,0,0,4,0,0,0
Kirkkonummi_1983,3271,2345,396,886,1117,0,2722,194,411,17,0,0,0,0,0,0,0
Kirkkonummi_1987,3010,2899,358,366,698,848,3093,214,160,418,0,0,258,0,0,0,135
Kirkkonummi_1991,2345,2466,897,296,826,1436,3461,170,71,135,0,0,106,0,0,0,36
Kirkkonummi_1995,4004,2261,533,37,1110,1250,2956,200,96,95,955,0,35,0,126,0,21
Kirkkonummi_1999,2724,3563,1230,18,1147,1419,2949,249,13,0,290,64,23,0,55,0,37
Kirkkonummi_2003,3309,3679,1958,207,1206,1685,3084,472,13,0,16,66,92,0,48,0,0
Kirkkonummi_2007,3043,5364,1679,889,967,1889,2896,669,14,0,0,53,11,0,24,0,0
Kirkkonummi_2011,3286,6002,867,3193,696,1965,2795,454,11,0,0,40,0,0,23,103,0
Kirkkonummi_2015,2543,5119,1907,3133,686,2116,3877,440,9,0,0,37,0,0,70,200,0
Kirkkonummi_2019,3026,4356,845,2888,760,2823,4266,477,956,0,0,38,0,0,20,144,0
Kirkkonummi_2023,3394,5489,645,4090,707,2329,4003,633,14,0,0,8,0,753,5,13,0
Kisko -09_1983,383,221,427,209,160,0,10,21,20,2,0,0,0,0,0,0,0
Kisko -09_1987,306,241,382,204,119,30,11,8,0,29,0,0,0,0,0,0,21
Kisko -09_1991,282,172,500,103,99,44,4,9,1,4,0,0,6,0,0,0,2
Kisko -09_1995,350,209,353,13,89,44,8,13,1,3,41,0,1,0,10,0,0
Kisko -09_1999,283,212,412,2,83,36,20,15,5,0,1,5,0,0,5,0,0
Kisko -09_2003,235,268,385,4,66,57,9,26,0,0,4,5,1,0,7,0,0
Kisko -09_2007,203,248,301,30,63,37,6,81,0,0,3,3,0,0,0,0,0
Kitee_1983,1689,1014,2606,795,201,0,0,395,0,20,0,0,0,0,0,0,0
Kitee_1987,1727,887,2424,563,101,243,0,268,71,82,0,0,22,0,0,0,5
Kitee_1991,1626,665,2806,285,71,223,0,299,0,42,0,0,7,0,0,0,7
Kitee_1995,2171,653,2370,90,66,141,0,364,7,14,20,0,7,0,18,0,5
Kitee_1999,2093,397,2199,41,122,228,0,338,0,0,96,5,1,0,4,0,6
Kitee_2003,1880,346,2567,25,54,183,0,238,0,0,0,9,4,0,7,0,0
Kitee_2007,1691,394,2076,126,29,320,0,190,0,0,0,10,0,0,8,0,0
Kitee_2011,1013,407,1611,914,81,98,0,396,17,0,0,4,0,0,2,13,0
Kitee_2015,909,404,2415,1242,63,166,0,384,0,0,0,13,0,0,11,14,0
Kitee_2019,986,310,2207,1224,102,212,0,367,25,0,0,10,0,0,0,7,0
Kitee_2023,995,553,1428,1103,88,140,2,513,4,0,0,2,0,153,0,5,0
Kittilä_1983,300,393,1634,155,936,0,0,23,807,6,0,0,0,0,0,0,0
Kittilä_1987,211,355,1544,147,988,44,0,31,0,646,0,0,3,0,0,0,18
Kittilä_1991,183,260,1830,77,1203,73,0,20,2,2,0,0,5,0,0,0,5
Kittilä_1995,246,306,1258,34,1455,52,0,28,0,0,32,0,3,0,10,0,0
Kittilä_1999,281,222,1481,24,1118,30,3,22,22,0,0,23,0,0,1,0,0
Kittilä_2003,222,199,1622,1,1044,39,8,22,0,0,0,8,2,0,14,0,0
Kittilä_2007,259,343,1356,38,969,43,0,24,0,0,0,8,0,0,1,0,0
Kittilä_2011,254,369,1068,658,690,74,12,39,0,0,0,10,0,0,0,0,0
Kittilä_2015,184,366,1428,581,702,87,21,28,0,0,0,5,0,0,39,22,0
Kittilä_2019,280,393,994,440,711,444,7,29,70,0,0,3,0,0,0,8,0
Kittilä_2023,515,498,777,920,321,215,14,30,204,0,0,10,0,49,0,0,0
Kiukainen -09_1983,913,458,908,140,329,0,0,38,0,0,0,0,0,0,0,0,0
Kiukainen -09_1987,813,439,907,76,224,41,0,25,0,83,0,0,0,0,0,0,20
Kiukainen -09_1991,731,326,1018,38,179,65,0,26,0,4,0,0,0,0,0,0,11
Kiukainen -09_1995,729,276,915,17,270,32,0,55,6,3,8,0,3,0,5,0,5
Kiukainen -09_1999,561,373,808,1,242,32,0,58,11,0,0,2,0,0,0,0,0
Kiukainen -09_2003,602,194,845,20,229,31,0,50,0,0,0,2,6,0,3,0,0
Kiukainen -09_2007,595,242,781,37,176,35,0,27,0,0,2,1,0,0,2,0,0
Kiuruvesi_1983,515,428,3853,1164,1528,0,0,66,0,16,0,0,0,0,0,0,0
Kiuruvesi_1987,336,317,3826,889,1177,68,0,73,17,419,0,0,16,0,0,0,34
Kiuruvesi_1991,359,303,3768,538,1180,193,0,119,0,8,0,0,8,0,0,0,0
Kiuruvesi_1995,434,243,3243,171,1623,112,0,138,0,0,36,0,5,0,46,0,0
Kiuruvesi_1999,369,299,3089,255,952,124,0,101,0,0,8,51,4,0,14,0,0
Kiuruvesi_2003,337,371,3113,41,1008,117,0,201,0,0,0,46,1,0,7,0,0
Kiuruvesi_2007,262,466,2422,154,1125,59,0,458,0,0,2,15,0,0,0,0,0
Kiuruvesi_2011,265,581,1988,988,694,77,0,130,0,0,0,10,0,0,1,0,0
Kiuruvesi_2015,173,352,2587,744,581,79,0,181,0,0,0,14,0,0,28,10,0
Kiuruvesi_2019,232,343,1514,978,688,118,0,297,27,0,0,3,0,0,1,7,0
Kiuruvesi_2023,193,256,1741,928,410,54,2,404,0,0,0,3,0,199,0,5,0
Kivijärvi_1983,378,166,550,74,37,0,1,22,2,0,0,0,0,0,0,0,0
Kivijärvi_1987,270,140,547,170,24,13,3,8,0,5,0,0,2,0,0,0,7
Kivijärvi_1991,268,122,681,39,14,16,0,13,0,0,0,0,0,0,0,0,0
Kivijärvi_1995,290,80,572,5,11,19,0,31,0,1,8,0,0,0,4,0,0
Kivijärvi_1999,379,48,498,1,7,6,0,21,0,0,3,0,0,0,0,0,0
Kivijärvi_2003,189,25,577,6,11,8,0,19,0,0,0,2,1,0,4,0,0
Kivijärvi_2007,140,34,634,7,15,3,0,19,0,0,0,4,0,0,2,0,0
Kivijärvi_2011,138,41,458,99,10,6,0,10,0,0,0,1,0,0,0,2,0
Kivijärvi_2015,113,21,476,93,3,5,0,11,1,0,0,3,0,0,0,0,0
Kivijärvi_2019,110,30,353,109,10,7,0,24,1,0,0,0,0,0,0,0,0
Kivijärvi_2023,94,39,298,143,3,5,1,11,0,0,0,0,0,3,0,0,0
Kokemäki_1983,1658,1124,1675,712,1264,0,0,127,0,0,0,0,0,0,0,0,0
Kokemäki_1987,1282,1238,1426,491,1076,195,0,94,0,120,0,0,10,0,0,0,65
Kokemäki_1991,1121,817,2128,290,863,150,0,109,0,11,0,0,9,0,0,0,32
Kokemäki_1995,1364,639,2118,92,670,174,0,138,40,9,34,0,6,0,47,0,4
Kokemäki_1999,1121,698,1896,23,688,86,0,216,204,0,0,6,0,0,4,0,0
Kokemäki_2003,1111,587,1889,80,756,98,0,335,0,0,0,6,4,0,27,0,0
Kokemäki_2007,1063,590,1901,207,500,112,0,77,0,0,1,8,0,0,3,0,0
Kokemäki_2011,893,670,1158,990,507,103,0,115,0,0,0,4,0,0,3,0,0
Kokemäki_2015,686,436,1286,987,482,87,37,73,0,0,0,4,0,0,7,13,0
Kokemäki_2019,809,397,1046,941,550,161,4,89,17,0,0,6,0,0,0,14,0
Kokemäki_2023,765,482,810,1238,298,45,13,99,0,0,0,0,0,40,0,2,0
Kokkola_1983,5720,3057,2843,1285,2397,0,3748,1245,0,0,0,0,0,0,0,0,0
Kokkola_1987,5088,3271,2937,668,1800,286,4353,499,0,633,0,0,58,0,0,0,211
Kokkola_1991,4216,1488,4739,517,1623,644,3198,2552,32,53,0,0,235,0,0,0,50
Kokkola_1995,4796,1230,4102,208,1628,904,2759,2512,31,52,637,0,79,0,169,0,26
Kokkola_1999,4025,2268,3363,299,1269,560,3081,3153,90,0,0,62,15,0,52,0,0
Kokkola_2003,4296,1086,4388,728,1305,605,2708,3444,0,0,0,116,10,0,42,0,0
Kokkola_2007,4262,1577,5154,1154,1267,366,2127,3186,0,0,0,30,0,0,57,0,0
Kokkola_2011,5201,2452,6095,4252,1242,589,2482,2516,4,0,0,30,0,0,67,65,0
Kokkola_2015,4388,2572,7907,3468,920,899,2305,2114,10,0,0,25,0,0,178,95,0
Kokkola_2019,4857,2171,5918,4952,1266,1909,2277,2200,7,0,0,9,0,0,20,43,0
Kokkola_2023,4731,3719,5199,5469,958,749,1982,2422,0,0,0,11,0,284,7,0,0
Kolari_1983,326,152,1203,66,984,0,0,15,397,0,0,0,0,0,0,0,0
Kolari_1987,331,168,1204,36,893,42,0,9,0,434,0,0,2,0,0,0,7
Kolari_1991,236,85,1342,24,962,48,0,9,3,7,0,0,5,0,0,0,3
Kolari_1995,309,112,984,2,907,38,0,36,2,0,19,0,1,0,5,0,0
Kolari_1999,250,108,1016,1,811,12,10,24,20,0,0,26,0,0,2,0,0
Kolari_2003,228,89,1166,1,753,43,10,17,0,0,0,14,2,0,12,0,0
Kolari_2007,247,143,1079,26,659,41,0,4,0,0,0,8,0,0,1,0,0
Kolari_2011,218,148,875,308,722,73,6,10,0,0,0,13,0,0,0,0,0
Kolari_2015,210,146,1080,222,477,79,10,15,0,0,0,9,0,0,7,15,0
Kolari_2019,206,149,590,271,586,325,2,18,25,0,0,8,0,0,0,1,0
Kolari_2023,313,186,519,410,350,169,7,15,238,0,0,10,0,27,0,0,0
Konginkangas -93_1983,293,125,288,75,151,0,1,62,2,22,0,0,0,0,0,0,0
Konginkangas -93_1987,236,129,291,78,123,27,0,47,0,14,0,0,2,0,0,0,11
Konginkangas -93_1991,189,70,339,69,112,24,0,70,0,2,0,0,1,0,0,0,0
Konnevesi_1983,564,359,742,209,322,0,3,125,12,2,0,0,0,0,0,0,0
Konnevesi_1987,462,325,698,240,316,30,0,117,0,23,0,0,8,0,0,0,16
Konnevesi_1991,351,148,863,308,254,56,0,128,0,1,0,0,3,0,0,0,0
Konnevesi_1995,426,104,719,106,257,45,0,299,0,2,16,0,0,0,17,0,0
Konnevesi_1999,305,124,778,9,329,42,2,167,0,0,12,1,0,0,17,0,0
Konnevesi_2003,326,108,859,6,274,37,0,132,0,0,0,10,0,0,9,0,0
Konnevesi_2007,349,108,799,58,127,49,0,129,0,0,0,5,0,0,5,0,0
Konnevesi_2011,288,132,586,337,139,36,0,109,0,0,0,3,0,0,1,5,0
Konnevesi_2015,217,95,677,347,102,46,0,131,5,0,0,1,0,0,5,1,0
Konnevesi_2019,233,91,547,348,147,66,0,88,23,0,0,2,0,0,0,5,0
Konnevesi_2023,241,161,456,344,68,34,2,87,0,0,0,1,0,14,0,1,0
Kontiolahti_1983,1695,979,1251,535,324,0,0,226,0,57,0,0,0,0,0,0,0
Kontiolahti_1987,1738,975,1247,394,206,73,0,147,77,97,0,0,120,0,0,0,12
Kontiolahti_1991,1652,704,1863,231,218,213,0,216,0,76,0,0,34,0,0,0,11
Kontiolahti_1995,2279,704,1352,66,244,257,0,335,6,17,63,0,26,0,46,0,2
Kontiolahti_1999,2027,698,1535,57,194,238,0,308,0,0,201,23,3,0,11,0,3
Kontiolahti_2003,2072,665,2095,40,198,449,0,227,0,0,0,32,2,0,4,0,0
Kontiolahti_2007,1918,923,2180,150,129,849,0,153,0,0,0,31,0,0,12,0,0
Kontiolahti_2011,1811,869,1635,1832,194,340,0,139,2,0,0,13,0,0,3,16,0
Kontiolahti_2015,1189,872,2293,1816,218,522,0,294,0,0,0,6,0,0,14,22,0
Kontiolahti_2019,1467,709,2344,1698,265,698,0,373,80,0,0,9,0,0,0,10,0
Kontiolahti_2023,1785,1106,1683,2021,194,428,1,607,1,0,0,5,0,190,0,6,0
Korpilahti -09_1983,655,466,1045,318,603,0,4,93,28,5,0,0,0,0,0,0,0
Korpilahti -09_1987,642,450,942,273,539,69,3,56,0,30,0,0,6,0,0,0,24
Korpilahti -09_1991,446,253,1235,276,433,92,0,88,0,3,0,0,4,0,0,0,0
Korpilahti -09_1995,636,299,1081,19,367,133,0,159,0,18,62,0,5,0,16,0,0
Korpilahti -09_1999,466,301,1135,16,333,103,1,189,0,0,30,20,1,0,3,0,0
Korpilahti -09_2003,463,281,1189,14,265,239,0,141,0,0,0,33,5,0,8,0,0
Korpilahti -09_2007,496,346,1090,79,225,101,0,146,0,0,0,39,3,0,4,0,0
Korppoo -09_1983,91,64,8,14,7,0,456,15,6,0,0,0,0,0,0,0,0
Korppoo -09_1987,51,61,12,13,6,13,462,5,0,3,0,0,0,0,0,0,3
Korppoo -09_1991,56,49,46,8,11,30,385,7,1,1,0,0,0,0,0,0,0
Korppoo -09_1995,53,49,24,3,27,38,324,7,1,1,16,0,2,0,0,0,0
Korppoo -09_2003,29,43,40,2,25,24,352,15,0,0,4,1,0,0,2,0,0
Korppoo -09_2007,20,38,16,1,26,26,360,13,1,0,0,1,0,0,0,0,0
Korsnäs_1983,104,6,3,26,54,0,1307,14,0,0,0,0,0,0,0,0,0
Korsnäs_1987,78,2,0,4,6,5,1451,1,0,36,0,0,0,0,0,0,12
Korsnäs_1991,76,0,23,2,8,9,1377,13,0,0,0,0,1,0,0,0,0
Korsnäs_1995,96,3,11,2,10,1,1294,11,0,0,0,0,5,0,1,0,1
Korsnäs_1999,34,0,41,2,10,1,1350,29,2,0,0,0,0,0,1,0,0
Korsnäs_2003,58,5,19,1,4,8,1212,93,0,0,0,0,0,0,0,0,0
Korsnäs_2007,18,7,26,7,8,5,1272,58,0,0,0,0,0,0,1,0,0
Korsnäs_2011,93,5,5,15,5,3,1273,18,4,0,0,1,0,0,0,4,0
Korsnäs_2015,67,6,6,16,7,6,1225,18,2,0,0,0,0,0,0,0,0
Korsnäs_2019,48,6,6,15,8,5,1282,12,0,0,0,0,0,0,0,0,0
Korsnäs_2023,77,5,1,23,8,5,1141,26,0,0,0,0,0,5,0,0,0
Kortesjärvi -09_1983,189,264,1153,138,69,0,4,50,0,0,0,0,0,0,0,0,0
Kortesjärvi -09_1987,149,213,1283,77,51,5,3,37,0,13,0,0,4,0,0,0,26
Kortesjärvi -09_1991,122,120,1378,100,25,16,3,59,0,0,0,0,0,0,0,0,2
Kortesjärvi -09_1995,145,133,1257,68,20,11,5,51,2,1,9,0,0,0,7,0,6
Kortesjärvi -09_1999,92,230,1063,65,11,9,0,52,0,0,0,2,0,0,14,0,0
Kortesjärvi -09_2003,74,356,993,56,8,5,2,51,0,0,0,2,0,0,4,0,0
Kortesjärvi -09_2007,75,345,883,73,5,7,1,40,0,0,0,0,0,0,9,0,0
Koski Tl_1983,171,472,773,311,103,0,3,25,13,0,0,0,0,0,0,0,0
Koski Tl_1987,115,454,900,211,88,19,14,13,0,21,0,0,8,0,0,0,11
Koski Tl_1991,132,357,1039,138,75,27,7,9,1,7,0,0,1,0,0,0,3
Koski Tl_1995,172,322,880,33,90,27,4,5,11,0,103,0,3,0,23,0,0
Koski Tl_1999,132,399,794,10,81,43,2,15,8,0,2,1,1,0,2,0,0
Koski Tl_2003,152,340,807,16,70,40,2,31,0,0,10,5,2,0,7,0,0
Koski Tl_2007,159,337,691,52,85,48,2,34,0,0,3,1,0,0,2,0,0
Koski Tl_2011,129,285,547,306,67,33,7,18,0,0,0,5,0,0,4,4,0
Koski Tl_2015,105,232,659,262,50,49,5,14,4,0,0,3,0,0,7,6,0
Koski Tl_2019,139,180,541,268,88,53,7,34,17,0,0,2,0,0,3,3,0
Koski Tl_2023,138,226,424,330,62,32,7,20,0,0,0,0,0,40,0,0,0
Kotka_1983,16619,9025,1299,3530,4945,0,270,1372,575,0,0,0,0,0,0,0,0
Kotka_1987,15761,8822,945,1310,1694,1617,237,1217,99,2894,0,0,167,0,0,0,489
Kotka_1991,13162,7013,2132,505,4148,2415,0,1034,0,0,0,0,173,0,0,0,152
Kotka_1995,14032,6782,1145,30,5878,2457,0,564,217,0,410,0,75,0,189,0,0
Kotka_1999,10935,7394,1601,45,5169,2083,0,1219,26,0,0,219,15,0,34,0,0
Kotka_2003,10646,6396,2417,80,6134,1655,0,949,0,0,0,213,57,0,47,0,0
Kotka_2007,8744,6491,1985,1722,5430,1670,0,1695,60,0,0,120,0,0,31,0,0
Kotka_2011,7821,5737,1274,6738,4122,1478,0,1149,0,0,0,0,0,0,39,49,0
Kotka_2015,7719,5532,1941,6461,2276,1674,260,1066,1,0,0,71,0,0,143,153,0
Kotka_2019,8008,4860,1028,6341,2636,2526,0,990,615,0,0,14,0,0,7,92,0
Kotka_2023,7666,6132,784,6749,2266,1257,178,881,0,0,0,72,0,486,0,0,0
Kouvola_1983,5625,7332,1189,3154,736,0,43,1089,142,0,0,0,0,0,0,0,0
Kouvola_1987,5309,8362,969,1366,410,653,38,893,137,261,0,0,111,0,0,0,296
Kouvola_1991,4503,6209,2519,687,457,1303,0,1012,0,0,0,0,147,0,0,0,143
Kouvola_1995,6036,6277,1593,54,593,1527,0,999,249,0,229,0,60,0,157,0,0
Kouvola_1999,4551,6732,2148,42,559,1131,0,1342,27,0,0,84,27,0,20,0,0
Kouvola_2003,4759,5532,3031,64,763,1162,0,1270,0,0,0,82,53,0,44,0,0
Kouvola_2007,3631,6300,2572,1029,651,958,0,1478,2,0,0,29,0,0,30,0,0
Kouvola_2011,10494,7831,7558,12812,2222,1776,0,4358,0,0,0,0,0,0,57,121,0
Kouvola_2015,8325,6700,10208,13427,1426,2379,115,2849,11,0,0,36,0,0,738,252,0
Kouvola_2019,10771,8824,6048,8984,2421,4294,0,2756,781,0,0,17,0,0,9,167,0
Kouvola_2023,10134,11125,4696,10859,1876,2029,65,1493,0,0,0,43,0,844,0,0,0
Kristiinankaupunki_1983,581,558,561,363,404,0,3114,173,0,0,0,0,0,0,0,0,0
Kristiinankaupunki_1987,523,553,564,231,236,25,3280,86,0,101,0,0,1,0,0,0,37
Kristiinankaupunki_1991,485,358,768,236,180,129,3032,102,0,8,0,0,6,0,0,0,29
Kristiinankaupunki_1995,592,308,714,73,213,110,2872,110,0,13,28,0,8,0,7,0,9
Kristiinankaupunki_1999,447,282,1046,66,164,56,2671,154,2,0,0,7,2,0,10,0,0
