'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0075';'Oras';'Tynkkynen';'YTM, yrittäjä';'Pirkanmaan vaalipiiri';'VIHR';'29.5.2023';'';'';'50876,25';'17458,21';'';'3701,40';'9439,71';'4781,94';'9630,43';'3051,64';'1376,40';'80';'';'1356,52';'50876,25';'31273,24';'';'19403,01';'';'';'';'X';'';'';'X';'';'200,00';'X';'';'';'X';'';'';''
'0084';'Anna-Kaisa';'Ikonen';'pormestari, YTT';'Pirkanmaan vaalipiiri';'KOK';'30.5.2023';'';'Tulevaisuuden tekijä -tukiryhmä';'39981,96';'13027,58';'0';'0';'8385,41';'1860,00';'4570,01';'6783,96';'3485,00';'750,00';'620,00';'500,00';'39981,96';'1508,96';'0';'9330,00';'X';'';'16090,00';'X';'';'3303,00';'';'';'500,00';'X';'';'9250,00';'';'';'0';''
'0085';'Aleksi';'Jäntti';'apulaispormestari, majuri (evp)';'Pirkanmaan vaalipiiri';'KOK';'5.6.2023';'';'Yhteinen Kasvu ry';'32507,05';'7523,73';'3227,70';'5085,17';'2927,92';'0';'4478,57';'2724,28';'1950,00';'3698,98';'799,00';'91,70';'32507,05';'3877,05';'';'200,00';'X';'';'26435,00';'X';'';'1495,00';'X';'';'';'X';'';'500,00';'X';'';'';''
'0088';'Pauli';'Kiuru';'kansanedustaja, FM';'Pirkanmaan vaalipiiri';'KOK';'29.4.2023';'';'';'96857,99';'27189,99';'';'3701,40';'3369,43';'';'51916,76';'1996,50';'5412,60';'2114,10';'';'1157,21';'96857,99';'67835,47';'0';'0';'X';'';'2000,00';'';'Vaaliauto lainattu käyttöön 3.3. - 3.4.2023. Ei suoraa rahallista tukea.';'0';'X';'';'27022,52';'';'';'0';'';'';'6000,00';'Kampanjaan sisältyi radiomainontaa SUN-kanavalla. Hintaa ei ole eritelty kohdassa 1.2. Samassa vaalimainospaketissa oli sanomalehtimainontaa useassa paikallislehdessä ja SUN-kanavalla. Radiomainonnan hintaa ei ole eritelty laskussa. Radiomainonta sisältyy siksi kohtaan 1.1 ”Sanoma-, ilmaisjakelu- ja aikakauslehdet”.Pirmediat Oy:n mainospaketin laskutti Akaan Seutu.'
'0093';'Arto';'Satonen';'kansanedustaja, opettaja';'Pirkanmaan vaalipiiri';'KOK';'22.5.2023';'';'';'98480,48';'23631,52';'';'13249,40';'1780,77';'6178,29';'19403,52';'9283,16';'6537,90';'13486,41';'';'4929,51';'98480,48';'76183,72';'0,0';'3400,00';'X';'';'7575,00';'X';'';'0,00';'X';'';'0,00';'X';'';'11321,76';'';'';'0,00';''
'0094';'Jocka';'Träskbäck';'yrittäjä';'Pirkanmaan vaalipiiri';'KOK';'5.6.2023';'';'Pirkanmaan Ryhtiliike ry';'43262,53';'12986,59';'620,00';'10013,40';'1353,98';'0,00';'12518,42';'4922,00';'0,00';'338,00';'0,00';'510,14';'43262,53';'9625,05';'0,00';'1969,00';'X';'';'20301,00';'';'';'2700,00';'';'Summa on kokonaisuudessaan saatu Kansallisen Kokoomuksen järjestämän keräyksen tuottamista lahjoituksista,';'1650,00';'';'';'7017,48';'';'';'';''
'0096';'Sofia';'Vikman';'kansanedustaja, yhteiskuntatieteiden maisteri';'Pirkanmaan vaalipiiri';'KOK';'4.6.2023';'';'';'33000,07';'9856,14';'0';'6820';'5922,05';'0';'0';'4350,42';'2620';'1365';'0';'2066,46';'33000,07';'25497,07';'0';'0';'';'';'500';'X';'';'575';'X';'';'928';'X';'';'5500';'';'';'0';''
'0132';'Anna';'Kontula';'kansanedustaja, sosiologi';'Pirkanmaan vaalipiiri';'VAS';'20.4.2023';'';'';'15289,19';'7529,87';'0';'0';'461,97';'0';'5382,69';'849,40';'200';'865,26';'0';'0';'15289,19';'145,19';'0';'4795';'';'Tukeen on laskettu mukaan yksityishenkilön maksama kahden ehdokkaan lehtimainos, josta oma osuus on 100 euroa. Tämä summa ei näy vaalitilillä, koska lasku meni suoraan maksajalle.';'0';'X';'';'0';'X';'';'1000';'X';'';'9349';'';'';'0';''
'0139';'Minna';'Minkkinen';'sosionomi, lähihoitaja';'Pirkanmaan vaalipiiri';'VAS';'2.5.2023';'';'Minna Minkkisen tukiryhmä';'23855,13';'1995,4';'3689';'0';'2806,53';'0';'10331,47';'1915,88';'287,98';'1490,33';'';'1338,54';'23855,13';'3949,5';'0';'4906,63';'X';'';'0';'';'';'100';'X';'';'0';'X';'';'14899';'';'';'0';''
'0149';'Miko';'Bergbom';'pintakäsittelijä';'Pirkanmaan vaalipiiri';'PS';'26.5.2023';'';'';'3525,71';'789,88';'0';'0';'394,31';'';'744';'1142,32';'0';'438,25';'';'16,95';'3525,71';'2225,71';'0';'200';'X';'';'1100';'X';'';'0';'';'';'0';'X';'';'';'X';'';'';''
