'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0062';'Pertti';'Salolainen';'kansanedustaja, ministeri';'Helsingin vaalipiiri';'KOK';'10.06.2015';'';'perttisalolainen.fi';'43079,12';'35646,69';'300';'';'1160,75';'';'';'558';'';'5384,60';'';'29,08';'43079,12';'2001,12';'';'15739';' ';'';'25339';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0066';'Juhana';'Vartiainen';'valtiotieteiden tohtori, ylijohtaja';'Helsingin vaalipiiri';'KOK';'09.06.2015';'10.06.2015';'Työlinjalla ry';'43325,57';'16584,01';'';'';'11925,69';'';'8623,76';'1667,46';'';'3635,14';'';'889,51';'43325,57';'4411,57';'';'16814';' ';'';'16000';'X';'';'';'X';'';'500';'X';'';'5600';'X';'';'';''
'0067';'Ben';'Zyskowicz';'kansanedustaja, oikeustieteen kandidaatti';'Helsingin vaalipiiri';'KOK';'22.06.2015';'23.06.2015';'Ben Zyskowiczin tukiryhmä';'76627';'13832';'3013';'';'8602';'';'25410';'15254';'1414';'';'';'9102';'76627';'3719';'24000';'20509';' ';'';'17549';'X';'';'';' ';'';'';' ';'';'10850';' ';'';'';'Kuten kohdasta 2.2 käy ilmi, rahoitus sisältää ehdokkaan henkilökohtaisia omia varoja 10 000 eur ja tukiryhmän omia vanhoja varoja 3719 + 4000 eur. Vaalilainaa on varsinaisesti (eli jäljellä 22.6.2015) 10 000 eur.'
'0091';'Eva';'Biaudet';'diskrimineringsombudsman, yhdenvertaisuusvaltuutettu';'Helsingin vaalipiiri';'RKP';'17.06.2015';'18.06.2015';'';'34851,50';'22391,68';'';'';'1008';'2127,53';'813,44';'3254,61';'1582,24';'1215';'';'2459';'34852,16';'1680,43';'';'11266,73';' ';'';'6905';'X';'';'';' ';'';'3000';' ';'';'12000';' ';'';'';''
'0108';'Marcus';'Rantala';'politices magister, statssekreterare, valtiotieteiden maisteri, valtiosihteeri';'Helsingin vaalipiiri';'RKP';'18.06.2015';'18.06.2015';'Svensk Metropol rf';'56987,02';'13976,48';'';'';'2813,40';'11998,00';'10166,58';'5426,37';'4017,21';'586,23';'3679,50';'4323,25';'56987,02';'6237,02';'';'14600';'X';'';'7000';'X';'';'3100';' ';'';'';' ';'';'26050';' ';'';'';''
'0137';'Eero';'Heinäluoma';'kansanedustaja';'Helsingin vaalipiiri';'SDP';'22.06.2015';'19.10.2015';'Itäkeskuksen Sosialidemokraatit ry';'50931,07';'8646,69';'';'13436,64';'989,19';'740,60';'12950';'4696,30';'3752,81';'2723,2';'542';'2453,64';'50931,07';'23929,67';'0';'1115';'X';'';'2300';' ';'';'';'X';'';'';'X';'';'23586,40';' ';'';'';'Helsingin sosialidemokraatitinen piirijärjestö ja Sosialidemokraattinen puolue ovat julkaisseet helsinkiläisten ehdokkaiden yhteistä mainontaa. JHL:n Helsingin sdryhmä on julkaissut JHL:ään kuuluvien ehdokkaiden yhteisen mainoksen.'
'0152';'Erkki';'Tuomioja';'valtiotieteen tohtori, kansanedustaja';'Helsingin vaalipiiri';'SDP';'06.05.2015';'';'Erkki Tuomiojan tukiyhdistys';'32484,60';'10734,94';'';'13397,95';'';'';'1700';'892,14';'1519';'230,50';'';'4010,07';'32484,60';'30184,61';'';'2299,99';'X';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0169';'Tom';'Packalén';'kansanedustaja, komisario';'Helsingin vaalipiiri';'PS';'14.06.2015';'';'';'8879,89';'1954,80';'3650';'';'';'';'1612';'1145,14';'';'';'';'517,95';'8881';'2128';'';'1200';'X';'';'5553';'X';'';'';'X';'';'';'X';'';'';' ';'';'';''
'0170';'Mika';'Raatikainen';'kansanedustaja, rikosylikonstaapeli';'Helsingin vaalipiiri';'PS';'12.06.2015';'';'';'10453,79';'8500,94';'0';'0';'0';'0';'902,85';'1050,00';'0';'0';'0';'0';'10453,79';'10453,79';'0';'';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';''
'0074';'Emma';'Kari';'tietokirjailija, luonnontieteiden kandidaatti';'Helsingin vaalipiiri';'VIHR';'15.06.2015';'15.06.2015';'Emma Karin tukiryhmä';'32755,34';'3553,25';'0';'0';'7376,60';'0';'17624,36';'2227,10';'1230';'77,03';'0';'667';'32755,34';'15027,03';'0';'14029,38';'X';'Kampanjaan tehtiin kampanja-aikana yhteensä 158 lahjoitusta yksityishenkilöiltä, Summat vaihtelivat 10 ja 1 000 euron välillä, Vihreät ajavat vaalirahoituksen avoimuutta ja olen sitoutunut julkistamaan kaikkien 1 000 euron (ja sitä suurempien summien) lahjoittajien nimet, Ainoan 1 000 euron lahjoituksen teki Mervi Kari,';'50';'X';'';'0';'X';'';'3648,93';' ';'Kampanjaan tehtiin kampanja-aikana yhteensä kolme lahjoitusta puolueyhdistyksiltä, Lisäksi puolueyhdistykset osallistuivat joukkoliikennemainontaan tukemalla ehdokkaiden yhteismainoksia sekä yhteismainoksiin sanomalehdissä, Olen jakanut näiden mainosten kustannukset niihin osallistuneiden ehdokkaiden määrällä ja ilmoittanut oman osuuteni tässä, ';'0';'X';'';'0';''
'0087';'Antero';'Vartia';'yrittäjä, kauppatieteiden maisteri';'Helsingin vaalipiiri';'VIHR';'21.06.2015';'';'';'23508,75';'408,64';'';'';'6331,82';'';'9579,11';'4445,46';'1142,72';'1100';'';'501';'23508,75';'4407,32';'';'12246,25';' ';'';'6555,18';' ';'Helsinki Souvenir Company maksoi ehdokkaan Facebook-mainonnan,';'';'X';'';'300';'X';'';'';'X';'';'';''
'0147';'Nasima';'Razmyar';'Kansanedustaja';'Helsingin vaalipiiri';'SDP';'21.06.2015';'';'';'36182,59';'7398,53';'';'';'1699,98';'';'14570,32';'1916,77';'1210';'8535,79';'';'851,20';'36182,59';'2102,22';'';'10998,39';'X';'';'';'X';'';'300';'X';'';'3822,98';' ';'';'18959';' ';'Ammattiliitto PRO antoi 1000€ rahaa ja lisäksi matkailuauton käyttöön, jonka arvo PRO:n ilmoittamansa mukaan olivat 2634€ (auton vuokra 50€/vrk=650€ + teippaus 1600+alv),';'';''
'0171';'Mari';'Rantanen';'ensihoitaja (AMK), sairaanhoitaja (AMK)';'Helsingin vaalipiiri';'PS';'01.06.2015';'';'Mari Rantanen eduskuntaan';'2753,12';'854,17';'';'';'568,28';'';'';'707,67';'';'';'';'623,00';'2753,12';'1968,82';'';'431,00';'X';'';'353,30';'X';'EMS Consulting Oy&lt;br /&gt;Helsingin Paperinkeräyspalvelu Oy';'';'X';'';'';'X';'';'';'X';'';'';'Kampanja sisälsi loistavan tukiryhmän, jonka sydämellä ja itseään säästämättä tehty vapaaehtoistyö ei ole rahalla mitattavissa. Lisäksi mahtavat kotijoukot olivat tärkeä osuus hyvän tuloksen tekemisessä.'
'0029';'Veronika';'Honkasalo';'valtiotieteiden tohtori, tutkija';'Helsingin vaalipiiri';'VAS';'22.06.2015';'';'Veronika Honkasalon tukiryhmä';'14027,82';'7172,05';'1178';'';'1280,10';'';'1514,75';'2782,92';'';'';'';'100';'14027,82';'6638,62';'';'6389,20';'X';'';'';'X';'';'';'X';'';'500';'X';'';'500';'X';'';'';''
'0084';'Johanna';'Sumuvuori';'kansanedustaja, valtiotieteen maisteri';'Helsingin vaalipiiri';'VIHR';'21.06.2015';'';'';'27210,22';'5394,36';'';'';'7018,71';'';'9857';'1111,35';'3298,40';'130,40';'';'400,00';'27210,22';'19859,22';'';'5331,00';'X';'';'';'X';'';'';'X';'';'2020';'X';'Tuet: Vihreät Naiset, nettimainontaa 78 e arvosta, printtimainontaa 80 euron arvosta, Helsingin vihreät naiset: suora 300 euron lahjoitus, Etelä-Helsingin vihreät: suora 300 euron lahjoitus, Helsingin vihreiden abribus-mainostuki 1262 euroa, ';'';' ';'';'';'Verkkomainontaa Facebookissa.  Ulkomainontaa raitiovaunuissa, metroissa ja JC Decauxin abribus-tauluissa. Printtimainontaa Helsingin Sanomissa, Metro-lehdessä, Ylioppilaslehdessä, Tööläläisessä, Kamppi-Eira -lehdessä, Lauttasaari-lehdessä, Vuosaari-lehdessä ja Voima-lehdessä. Osa printtimainoksista yhteismainontaa muiden ehdokkaiden kanssa. '
'0026';'Paavo';'Arhinmäki';'kansanedustaja, puolueen puheenjohtaja';'Helsingin vaalipiiri';'VAS';'26.05.2015';'';'';'26022,18';'2038,9';'1714,38';'';'418,67';'';'4917,13';'6094,6';'806,5';'509,34';'';'9522,66';'26022,18';'10397,18';'';'1435';'X';'';'';'X';'';'';'X';'';'10050';' ';'';'4140';' ';'';'';''
'0151';'Pilvi';'Torsti';'valtiotieteen tohtori, valtiosihteeri';'Helsingin vaalipiiri';'SDP';'10.06.2015';'';'';'39854';'11792';'';'';'7017';'3500';'8545';'3501';'1860';'961';'';'2678';'39854';'8236';'';'16648';'X';'';'4650';' ';'Vaalivideotuotanto';'';' ';'';'2200';' ';'';'8120';'X';'';'';'Lisätietoja Pilvi Torsti 040-7191206.'
'0089';'Ozan';'Yanar';'Vihreiden nuorten ja opiskelijoiden liiton puheenjohtaja, valtiotieteiden kandidaatti';'Helsingin vaalipiiri';'VIHR';'18.06.2015';'';'';'26697';'72';'';'';'8540';'';'8662';'4770';'900';'700';'';'3053';'26772';'6801';'';'15083';' ';'';'';' ';'';'';' ';'';'3513';'X';'';'1375';' ';'';'';''
'0070';'Pekka';'Haavisto';'kansanedustaja, ulkoministerin erityisedustaja';'Helsingin vaalipiiri';'VIHR';'22.06.2015';'';'Pekka Haaviston tukiryhmä';'45012,97';'6771,18';'3162,00';'';'1100,00';'';'20679,55';'2067,23';'4165,00';'3583,22';'3084,79';'400,00';'45012,97';'18380,46';'';'9917,51';' ';'Vihreiden sitoumuksen mukaisesti olen tässä ilmoittanut kaikki 1000 euron tai sitä suuremmat lahjoitukset,';'2780,00';'X';'Vihreiden sitoumuksen mukaisesti olen tässä ilmoittanut kaikki 1000 euron tai sitä suuremmat lahjoitukset,';'';'X';'';'7275,00';' ';'Helsingin Vihreiden tuki oli ulkomainonnan abri-kampanjan muodossa, arvoltaan Helsingin Vihreiden ilmoituksen mukaan 6,975,00, Summa on lisätty sekä kampanjan menoihin että tuloihin, Tässä kohdassa on ilmoitettu kaikki puoluejärjestöiltä saatu tuki,';'6660,00';' ';'Vihreiden sitoumuksen mukaisesti olen tässä ilmoittanut kaikki 1000 euron tai sitä suuremmat lahjoitukset,';'';''
'0079';'Vesa-Matti';'Saarakkala';'kansanedustaja, yhteiskuntatieteiden kandidaatti';'Vaasan vaalipiiri';'PS';'19.06.2015';'';'Vesa-Matti Saarakkalan tukiyhdistys';'22306,85';'10637,05';'0';'0';'0';'0';'2517,09';'3689,72';'470';'880';'0';'4112,99';'22306,85';'9239,85';'0';'5607';'X';'';'4960';'X';'';'0';' ';'';'2500';' ';'';'0';' ';'';'0';'1. Muilla kuluilla tarkoitetaan tässä ilmoituksessa vaalilehden jakelukustannuksia sekä ulkomainosten kiinnittämiseen liittyviä polttoainekuluja. 2. Yrityksiltä saatu rahoitus sisältää vastikkeettomien tukien lisäksi kaksi vastikkeellista tukea, molemmat arvoltaan alle 1500 euroa, ja vastikkeella tarkoitetaan Vesa-Matti Saarakkalan vaalilehdessä olleita kahden eri yrityksen yhteensä kahta pienikokoista mainosta. Vaalilehden suunnittelu-, painatus- ja jakelukustannuksille ei ole tässä tapauksessa laskettu arvoa, eli vastikkeellisen tuen hankkimisesta ei katsota aiheutuneen kustannuksia. (Jos kustannuksia katsottaisiin aiheutuneen, silloin vaalirahoitusilmoitus sisältäisi kahteen kertaan kohdan C erittelyssä vaalilehden suunnitteluun (mainonnan suunnittelu), painatukseen ja jakeluun liittyvät kustannukset, jotka ovat kokonaisarvoltaan 7328,71 euroa, mistä vaalilehden painatuskustannus 3289,72 euroa on sisällytetty tässä ilmoituksessa kohtaan &quot;painetun materiaalin hankinta&quot; ja jakelukustannus 3568,99 euroa kohtaan &quot;muut kulut&quot; ja vaalilehden suunnittelukustannus 470 euroa kohtaan &quot;mainonnan suunnittelu&quot;. Jos vaalilehden suunnittelu-, painatus- ja jakelukustannukset katsottaisiin vastikkeellisen tuen hankintakuluksi, tällöin kampanjan kokonaiskuluksi tulisi nykyisen kokonaiskulujen lisäksi toiseen kertaan vaalilehden suunnittelu-, painatus- ja jakelukustannukset sekä lisäksi kävisi ilmi noiden kahden mainoksen yhteisarvo, koska vastikkeellinen tuki ilmoitetaan lain mukaan bruttomääräisenä siten, että saatu tuki ja tuen hankinnasta aiheutuneet kulut ilmoitetaan kokonaismääräisinä niitä toisistaan vähentämättä. Vastikkeellisen tuen arvo ei kuitenkaan ylitä kummassakaan tapauksessa 1500 euron rajaa, vaan on kaukana siitä. Olen katsonut vaalirahoitusilmoitukseni ymmärrettävyyden ja selkeyden takia tarkoituksenmukaiseksi, että en laske mainonnan suunnittelukuluja (vaalilehden suunnittelukulut), painatus- ja jakelukuluja yhteensä 7328,71 euroa vastikkeellisen tuen hankintakuluiksi, koska mainonnan suunnittelu-, painatus- ja jakelukulut ilmoitetaan tässä vapaaehtoisessa erittelyssä vaalilehden osalta tarkasti ja ne sisältyvät kohdan C erittelyyn. Vastikkeellisen tuen hankintakulut ovat siis toisin sanoen 0 euroa.)'
'0154';'Mikko';'Savola';'kansanedustaja, maatalousyrittäjä';'Vaasan vaalipiiri';'KESK';'22.06.2015';'';'Turvallinen kotiseutu ry';'58697';'33810';'1320';'9934';'3361';'';'2639';'800';'4444';'1761';'';'628';'59223';'12100';'20000';'8323';'X';'';'4730';'X';'';'';'X';'';'11920';' ';'';'2150';'X';'';'';''
'0144';'Antti';'Kurvinen';'lakimies, oikeustieteen maisteri';'Vaasan vaalipiiri';'KESK';'18.06.2015';'';'Lakeudelta eduskuntaan ry';'89539,30';'30731,34';'2285,00';'16080,32';'1092,00';'2738,00';'10787,54';'8279,95';'3100,00';'3996,98';'2602,00';'7846,17';'89539,30';'11750,00';'13719,00';'12289,60';'X';'';'26298,00';'X';'';'0,00';'X';'';'24017,45';' ';'';'1465,25';'X';'';'0,00';'Vaalikampanjani menoista ostettiin Vaasan vaalipiirin alueen yrityksiltä palveluja ja tuotteita yhteensä 75457,86 eurolla.'
'0049';'Harry';'Wallin';'kansanedustaja, veturinkuljettaja';'Vaasan vaalipiiri';'SDP';'11.06.2015';'';'Ihmisten Puolesta ry';'27468';'17571';'1000';'';'';'';'6503';'1550';'';'844';'';'';'27468';'13340';'';'1240';'X';'';'4988';'X';'';'';'X';'';'2500';' ';'';'5400';' ';'';'';''
'0056';'Helena';'Lahtinen';'terveydenhoitaja, perusturvajohtaja';'Vaasan vaalipiiri';'KD';'16.06.2015';'22.06.2015';'';'10044,71';'4859,98';'793,60';'';'';'';'2825';'1011,33';'';'554,80';'';'';'10044,71';'4528,12';'';'860';'X';'';'600';'X';'';'1845';'X';'';'2211,59';'X';'';'';'X';'';'';''
'0142';'Pasi';'Kivisaari';'rehtori, kasvatustieteen maisteri';'Vaasan vaalipiiri';'KESK';'17.06.2015';'';'Pohjalaisten puolesta ry';'54577,18';'13123,68';'';'9156,16';'2500';'';'1809,90';'10816,74';'11131,74';'588';'';'5450,96';'55132,10';'10000';'10000';'14804,21';'X';'';'10737,89';' ';'';'0';'X';'';'9590';' ';'';'0';'X';'';'0';''
'0009';'Anna-Maja';'Henriksson';'justitieminister, riksdagsledamot, oikeusministeri, kansanedustaja';'Vaasan vaalipiiri';'RKP';'21.06.2015';'08.10.2015';'';'50736';'14066';'';'';'500';'0';'2102';'23336';'4216';'1846';'2277';'2393';'52637';'310';'';'397';'X';'';'23430';'X';'';'11000';' ';'';'10000';' ';'';'7500';' ';'';'';''
'0013';'Mats';'Nylund';'jordbrukare, riksdagsledamot';'Vaasan vaalipiiri';'RKP';'22.06.2015';'';'Landsbygdens väl rf';'29937,34';'19379,95';'0';'0';'0';'0';'2178,93';'785,71';'6046,07';'1522,1';'0';'24,58';'29937,34';'4302,34';'0';'1205';'X';'';'6450';' ';'Bidrag från företag består både av direkta kampanjbidrag och köpta annonser i kandidatens valtidning,';'1000';'X';'';'200';'X';'';'16780';' ';'';'0';''
'0014';'Mikko';'Ollikainen';'pedagogie magister, kasvatustieteiden maisteri';'Vaasan vaalipiiri';'RKP';'22.06.2015';'';'Enat Österbotten rf';'30241,93';'8961,83';'';'126,00';'2763,71';'1319,30';'2667,86';'9020,07';'274,21';'2946,00';'';'2162,95';'31215,00';'4500,00';'';'8145,00';'X';'';'5915,00';'X';'';'1000,00';'X';'';'8700,00';' ';'';'2955,00';'X';'';'';''
'0015';'Joakim';'Strand';'stadsfullmäktigeordf., juris magister kaupunginvaltuuston puh. joht., oikeustieteen maisteri';'Vaasan vaalipiiri';'RKP';'21.06.2015';'';'Strand eduskuntaan 2015 tukiryhmä / Joakim Strand till Riksdagen 2015';'56928,88';'24798,55';'759,6';'5997,24';'2156,96';'992';'757,64';'9964,36';'';'6696,24';'';'4806,29';'56928,88';'10772,87';'';'11517,01';'X';'';'24639';'X';'';'3500';' ';'';'';' ';'';'6500';' ';'';'';''
'0035';'Steven';'Frostdahl';'ombudsman asiamies';'Vaasan vaalipiiri';'SDP';'22.06.2015';'09.09.2015';'Steven Frostdahls stödgrupp';'29080';'12104';'';'225';'';'';'725';'6983';'1707';'2010';'';'5326';'29080';'1909';'';'2740';'X';'';'10670';' ';'';'';' ';'';'1950';' ';'';'11811';' ';'';'';''
'0048';'Jutta';'Urpilainen';'kansanedustaja, luokanopettaja';'Vaasan vaalipiiri';'SDP';'22.06.2015';'';'';'46727,66';'24821,94';'';'3523,30';'';'314,11';'1530,59';'2669,72';'7390,40';'2727,73';'2119,90';'1629,97';'46727,66';'10027,66';'';'2600,00';'X';'';'15200,00';' ';'';'';' ';'';'1200,00';'X';'';'17700,00';' ';'';'';''
'0065';'Peter';'Östman';'riksdagsledamot kansanedustaja';'Vaasan vaalipiiri';'KD';'21.06.2015';'';'Peters KD Team & Mera Företagare rf';'36900';'19355';'500';'';'';'1200';'2700';'11000';'500';'1000';'';'';'36900';'3000';'';'2790';'X';'';'25315';'X';'36 yritystä maksanut tukea 100-1490 euroa/yritys';'1345';'X';'Suomen Kristillisdemokraatit rp';'3950';' ';'';'500';'X';'';'';''
