'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0069';'Outi';'Alanko-Kahiluoto';'kansanedustaja, filosofian tohtori';'Helsingin vaalipiiri';'VIHR';'21.06.2015';'';'';'49782,14';'10835,00';'4100,00';'';'2875,55';'';'26451,59';'3163,00';'1000,00';'957,00';'';'400,00';'49782,14';'37658,14';'';'3437,00';'X';'';'';'X';'';'';'X';'';'8687,00';' ';'';'';'X';'';'';''
'0063';'Sari';'Sarkomaa';'kansanedustaja, terveydenhuollon maisteri';'Helsingin vaalipiiri';'KOK';'22.06.2015';'';'Sarin tukiyhdistys';'45882';'11495';'';'';'496';'';'21778';'6588';'1875';'1822';'';'1828';'46055,6';'10638';'';'3787';'X';'';'7835';'X';'Tuet koostuvat suorista lahjoituksista sekä seminaarilippujen myynnistä, ';'';' ';'';'473,60';'X';'Lisäksi Helsingin Kokoomuksen Naiset antoi vaalikäyttöön roll-upin: tuen arvo 173,60 euroa,';'23322';' ';'Tuet koostuvat suorista lahjoituksista sekä seminaarimaksuista,';'';''
'0136';'Tuula';'Haatainen';'valtiotieteen maisteri, sairaanhoitaja';'Helsingin vaalipiiri';'SDP';'17.06.2015';'';'';'29782,00';'13541,00';'0,00';'10015,00';'300,00';'124,00';'1700,00';'1934,00';'0,00';'630,00';'370,00';'1168,00';'29782,00';'23402,00';'0,00';'1030,00';'X';'';'0,00';'X';'';'300,00';'X';'';'1000,00';'X';'';'4050,00';'X';'';'0,00';''
'0176';'Sampo';'Terho';'filosofian maisteri, Euroopan parlamentin jäsen';'Helsingin vaalipiiri';'PS';'14.06.2015';'';'';'9704,43';'5298,5';'';'';'731';'';'504,85';'2284,72';'';'';'';'885,36';'9704,43';'9704,43';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0038';'Silvia';'Modig';'kansanedustaja, riksdagsledamot';'Helsingin vaalipiiri';'VAS';'22.06.2015';'';'Silvia Modigin tukiyhdistys';'8520';'3784';'1490';'';'248,8';'';'1384,9';'1423,3';'';'189';'';'';'8520';'4000';'';'1120';'X';'';'';' ';'';'';'X';'';'400';'X';'';'3000';' ';'';'';''
'0011';'Paula';'Lehtomäki';'kansanedustaja, kauppatieteiden maisteri';'Helsingin vaalipiiri';'KESK';'17.06.2015';'17.06.2015';'Paula parlamenttiin -yhdistys';'35391,62';'11642,32';'';'5172,86';'';'';'8066,23';'3464,99';'2517,20';'3594,63';'900';'33,39';'35679,46';'6460,60';'';'14262,2';' ';'';'8280';'X';'';'';' ';'';'';' ';'';'6676,66';' ';'Arkadian talouspoliittisen seuran tuki koostuu seminaarilipuista, ei yhtään yli 1500 euron yksittäistä tahoa,';'';''
'0020';'Olli';'Rehn';'Euroopan parlamentin varapuhemies, filosofian tohtori';'Helsingin vaalipiiri';'KESK';'22.06.2015';'';'Suomen parhaaksi ry.';'55846,80';'35178,22';'0';'0';'3305,29';'4604,59';'1000';'2056,48';'4389,60';'3312,62';'0';'2000';'55846,80';'15551,80';'0';'10015';'X';'';'18820';' ';'';'0';' ';'';'0';' ';'';'11460';'X';'';'0';''
'0051';'Terhi';'Koulumies';'valtiotieteiden maisteri';'Helsingin vaalipiiri';'KOK';'18.06.2015';'';'';'31820,51';'8140,85';'50';'6204,96';'';'';'11901,94';'5262,76';'';'';'';'260';'31820,51';'22329,52';'';'9490,99';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';'Harri ja Pirjo Koulumies eli isäni ja äitini maksoivat suoraan omalta tililtään em. tuet, eli rahat eivät kiertäneet minun kauttani. Harri maksoi lehti-ilmoituksia Sanomalle 6000 euroa, mutta palautin hänelle sitten 1717,01 euroa siitä jo ennen vaaleja, eli se osuus oli lyhytaikaisena lainana hetken olemassa. &lt;br /&gt;&lt;br /&gt;Pirjo maksoi laskun 5208 euroa suoraan ClearChannelille pylvästauluissa olleista ulkomainoksista. &lt;br /&gt;&lt;br /&gt;Tiliotteista näkyy lisäksi saamiani maksusuorituksia multa ehdokkailta. Minulla oli kaksi yhteismainosta, joista tein lehtiin varaukset ja maksoin koko summat, ja sitten sain muiden ehdokkaiden osuudet takaisin heiltä myöhemmin. Kalliimmassa yhteismainoksessa olivat mukana Timo Latikka, Pentti Arajärvi, Elina Lepomäki ja Siru Kauppinen, halvemmassa olivat Ville Jalovaara, Veronika Honkasalo ja Leo Stranius.&lt;br /&gt;&lt;br /&gt;Yksi kohta tiliotteessa on Sanomalta saatua palautusta, koska yhdessä lehtimainoksessa oli virhe ja sain siitä hyvitystä.'
'0057';'Jaana';'Pelkonen';'kansanedustaja, valtiotieteiden maisteri';'Helsingin vaalipiiri';'KOK';'27.05.2015';'';'Tekemällä todeksi ry';'17296,43';'10630,28';'';'';'2007,44';'';'901,40';'518,56';'';'2359,28';'';'879,47';'17296,43';'';'';'425';'X';'';'16871,43';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0060';'Wille';'Rydman';'kansainvälisten asioiden sihteeri, valtiotieteiden maisteri';'Helsingin vaalipiiri';'KOK';'20.05.2015';'';'Vapauden vaalijat ry';'50892,20';'10232,42';'';'';'10766,91';'';'22417,74';'1568,37';'3891,96';'1927,42';'';'87,38';'50892,20';'19292,50';'';'9373,90';'X';'';'5755,80';'X';'';'';' ';'';'13670';' ';'';'2800';' ';'';'';''
