'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0004';'Paavo';'Arhinmäki';'kansanedustaja';'Helsingin vaalipiiri';'VAS';'31.5.2019';'';'';'36729,70';'5184,86';'';'';'2790,29';'';'10346,23';'6372,64';'';'2317,02';'';'9718,66';'36729,70';'17079,13';'';'794,87';'X';'';'';'X';'';'';'X';'';'500';'X';'';'18355,70';'';'';'';''
'0007';'Veronika';'Honkasalo';'dosentti, nuorisotutkija';'Helsingin vaalipiiri';'VAS';'16.6.2019';'16.6.2019';'';'19342,81';'9528,09';'';'';'3342,72';'';'';'4374,80';'';'';'2000';'97,20';'19342,81';'7179,51';'';'8913,30';'X';'';'';'X';'';'';'X';'';'1450';'X';'';'1800';'';'';'';'Olen kerännyt kampanjalle tuloja myös myymällä kirjaani Toivon politiikka (Into). Nämä tulot on sisällytetty ilmoituksessa kohtaan B 2.3.'
'0009';'Mai';'Kivelä';'toiminnanjohtaja';'Helsingin vaalipiiri';'VAS';'15.6.2019';'16.9.2019';'Mai Kivelän tukiryhmä';'26689';'384';'';'';'17001';'';'4944';'2323';'';'1534';'503';'';'26689';'4497';'0';'15212';'';'';'0';'X';'';'0';'X';'';'930';'X';'';'6050';'';'';'';''
'0014';'Silvia';'Modig';' toimittaja';'Helsingin vaalipiiri';'VAS';'17.6.2019';'';'';'16911,40';'4450,12';'1302';'';'595';'1449,14';'5841,08';'2409,79';'';'326,40';'100';'437,87';'16911,40';'7373,20';'';'2198,20';'X';'';'250';'X';'';'';'';'';'1590';'X';'';'5500';'';'';'';''
'0025';'Outi';'Alanko-Kahiluoto';'kansanedustaja, tutkija';'Helsingin vaalipiiri';'VIHR';'16.6.2019';'1.8.2019';'';'52132,41';'10077,07';'';'';'7959,40';'';'23955,84';'6474,33';'1650';'459,50';'';'1556,27';'52132,41';'45628,22';'';'4398,40';'X';'';'';'X';'';'';'X';'';'824';'X';'';'1281,79';'X';'Olen saanut vaalitukea 1000 euroa Palvelualojen ammattiliitolta. Yksityishenkilöiltä saatuun tukeen sisältyy 281,79e tuloja, jotka on saatu myymällä yksityishenkilöiden lahjoittamia tavaroita tukiryhmän järjestämässä vaalitilaisuudessa sekä kirpputorilla (Kirpputori Kahdeksas Aisti). ';'';''
'0026';'Fatim';'Diarra';'yhteiskunnallisen viestinnän asiantuntija';'Helsingin vaalipiiri';'VIHR';'16.6.2019';'';'Fatim Diarran kannatusyhdistys';'31507';'1836,97';'0';'0';'7639,92';'0';'9976,80';'1394,65';'9375,90';'449,05';'0';'833,71';'31507';'4400';'0';'19430';'';'Kampanja sisältää 1000 euroa tukea Minerva Krohnilta. Kampanjan vastikkeellinen tukisuoritukset ovat sosiaalisen median markkinointia sekä graafisen viestinnän tuotantoa. ';'2295';'X';'';'0';'X';'';'2082';'X';'Kampanja sisältää 1120 euroa tukea Helsingin Vihreä seura ry:ltä,';'3300';'X';'';'0';''
'0027';'Pekka';'Haavisto';'kansanedustaja, puolueen puheenjohtaja';'Helsingin vaalipiiri';'VIHR';'17.6.2019';'10.9.2019';'';'26719,20';'4126,00';'';'';'550,00';'';'18670,00';'545,60';'1955,60';'';'';'872,00';'26719,20';'5344,67';'';'7644,55';'';'';'6085,98';'X';'';'';'';'';'144,00';'X';'';'7500,00';'X';'';'';''
'0028';'Atte';'Harjanne';'tutkija, diplomi-insinööri';'Helsingin vaalipiiri';'VIHR';'14.6.2019';'';'';'43267';'2337';'620';'0';'26739';'0';'7511';'2199';'2168';'250';'812';'631';'43267';'23077';'0';'19546';'';'';'0';'X';'';'0';'X';'';'144';'X';'Tuki: Helsingin Vihreä Seura ry, 144 e';'500';'X';'Tuki: Tekniikan Akateemiset ry, 500 e';'0';''
'0030';'Mari';'Holopainen';'kauppatieteiden maisteri, väitöskirjatutkija';'Helsingin vaalipiiri';'VIHR';'16.6.2019';'16.8.2019';'';'32546,11';'1216,26';'';'';'11910,53';'';'6280';'2451,6';'8563,52';'300';'';'1824,2';'32546,11';'29595,31';'';'2025';'X';'';'49,8';'X';'';'';'X';'';'876';'X';'';'';'X';'';'';'Muut kulut sisältävät Vihreiden ehdokasmaksun, kampanjan valokuvia ja käännöstyön. Puolueyhdistyksiltä saatu tuki (876 euroa) Helsingin Vihreä seura ry. '
'0033';'Emma';'Kari';'kansanedustaja, filosofian maisteri';'Helsingin vaalipiiri';'VIHR';'8.6.2019';'';'';'30551,66';'190';'';'';'13348,22';'';'12980';'789,99';'1340,32';'1251,86';'';'651,27';'30551,66';'16194,91';'';'12082,75';'';'Lahjoituksia saatiin 121 eri henkilöltä. Tyypillisin lahjoitussumma oli 50 euroa.';'1398';'X';'';'';'';'';'876';'X';'';'';'';'';'';''
