'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Saapumispaiva';'Muokkauspaiva';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0037';'Maria';'Ohisalo';'puolueen varapuheenjohtaja, köyhyystutkija';'Helsingin vaalipiiri';'VIHR';'5.5.2019';'';'';'50692';'1977';'';'';'16558';'5030';'10190';'1234';'10490';'2434';'348';'2431';'50692';'2000';'0';'30116';'';'Ilmoitettu tukisumma sisältää vaalivideon tuottamiseen käytettyä vapaaehtoistyötä 6200 euron arvosta (tuotantoryhmä: Jani Ilomäki, Mikko Parttimaa, Anni Mattila, Henry Kaprali, Juho Piiroinen).Muilta osin ilmoitettu rahoitus koostuu n. 320 yksittäisestä lahjoituksesta (keskisuuruus n. 75 euroa).';'8200';'';'Loppuosa yrityksiltä saadusta rahoituksesta koostuu kahdesta seminaarilipusta á 600 euroa.';'0';'X';'';'1176';'X';'';'9200';'';'Loppuosa muilta tahoilta saadusta tuesta koostuu seitsemästä seminaarilipusta á 600 euroa.';'0';''
'0098';'Jussi';'Halla-aho';'filosofian tohtori, Euroopan parlamentin jäsen';'Helsingin vaalipiiri';'PS';'10.6.2019';'';'';'307,52';'';'';'';'';'';'';'307,52';'';'';'';'';'307,52';'307,52';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0107';'Tom';'Packalén';'kansanedustaja, komisario';'Helsingin vaalipiiri';'PS';'14.6.2019';'17.9.2019';'';'4243';'1723';'';'';'';'1500';'';'520';'';'';'';'500';'4243';'2748';'';'1495';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0109';'Mika';'Raatikainen';'kansanedustaja, rikosylikonstaapeli';'Helsingin vaalipiiri';'PS';'3.6.2019';'';'Mika Raatikaisen tukiyhdistys';'13065,10';'10847,45';'';'';'';'';'632,31';'1401,20';'';'184,14';'';'';'13065,10';'10766,10';'';'800,00';'X';'';'1499,00';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0110';'Mari';'Rantanen';'ensihoitaja, omaishoitaja';'Helsingin vaalipiiri';'PS';'2.6.2019';'';'Mari Rantasen tukiyhdistys';'10027,28';'2604,34';'';'';'';'';'607,04';'6450,10';'';'';'';'365,80';'10027,28';'7677,28';'';'2350';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'Huikealle kampanjatiimille kuuluu suuri kiitos kaikesta avusta ja tuesta, jota ilman paikka eduskunnassa ei olisi ollut mahdollinen.'
'0179';'Eva';'Biaudet';'riksdagsledamot, kansanedustaja';'Helsingin vaalipiiri';'RKP';'17.6.2019';'';'';'44734,57';'29322,60';'';'';'1280,86';'3683,97';'';'5301,50';'3720';'287,80';'';'1137,84';'44734,57';'994,57';'';'17800';'';'';'2540';'X';'';'1100';'X';'';'13000';'';'';'9300';'';'';'';''
'0194';'Marcus';'Rantala';'politices magister, företagare, valtiotieteiden maisteri, yrittäjä';'Helsingin vaalipiiri';'RKP';'4.6.2019';'';'Svensk metropol rf';'48171,87';'14198';'';'';'2306,80';'12796,36';'12883,02';'594,56';'1255,13';'124';'3556';'458';'48171,87';'3831,87';'';'10870';'X';'';'4620';'X';'';'1960';'X';'';'6000';'';'';'20890';'';'';'';''
'0204';'Atte';'Kaleva';'yrittäjä, kapteeni evp.';'Helsingin vaalipiiri';'KOK';'17.6.2019';'17.10.2019';'Menestyvä Suomi';'40867,82';'1396,12';'0';'7732,45';'3950,03';'500';'4645,99';'9671,75';'3288,48';'755';'0';'8928';'40867,82';'25239,82';'0';'6428';'X';'';'8400';'';'';'0';'X';'';'0';'X';'';'800';'X';'';'0';''
'0206';'Terhi';'Koulumies';'valtiotieteiden maisteri';'Helsingin vaalipiiri';'KOK';'16.6.2019';'';'';'51095,65';'9149,44';'0';'8581,49';'4767,19';'0';'26952,99';'437,66';'237,2';'969,68';'0';'0';'51095,65';'44553,06';'';'6542,59';'';'Vanhempani Harri ja Pirjo maksoivat ratikkamainoksen';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0213';'Jaana';'Pelkonen';'kansanedustaja, valtiotieteiden maisteri';'Helsingin vaalipiiri';'KOK';'18.4.2019';'';'';'872,34';'';'';'';'590,24';'';'';'282,10';'';'';'';'';'872,34';'385,02';'';'487,32';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0216';'Wille';'Rydman';'kansanedustaja, valtiotieteiden maisteri';'Helsingin vaalipiiri';'KOK';'27.4.2019';'7.8.2019';'Vapauden vaalijat ry';'50350,99';'4699,91';'';'5272,47';'8450,64';'';'21183,66';'2384,52';'5796,56';'2174,98';'';'388,25';'50350,99';'23447,55';'';'15125,44';'X';'';'10778';'';'Kaksi yritystä tuki kampanjaa ostamalla Helsingin Kansallismedia Oy:n seminaarilippuja, joiden myynnistä saadut provisiot tilitettiin kampanjatilille. Kumpaisenkin yrityksen tuki vaalikampanjalle oli alle 1500e, mutta Kansallismedian kautta välitetyn provision yhteissumma oli 2090e. Ilmoitusta täydennetty tämän johdosta VTV:n vaalirahoitusvalvonnan pyynnöstä.';'';'';'';'';'';'';'1000';'X';'';'2090';''
'0217';'Sari';'Sarkomaa';'kansanedustaja, terveydenhuollon maisteri';'Helsingin vaalipiiri';'KOK';'13.6.2019';'9.9.2019';'Sarin Tukiyhdistys';'21367,47';'8683,56';'';'';'';'4739,09';'';'3884,74';'1432,20';'70';'';'2557,88';'21378,55';'';'';'2829';'X';'';'14680';'';'Helsingin Kansallismedian Oy:n 11 780 euron maksu tukiyhdistykselleni on provisio talousseminaarien myynnistä. Helsingin Kansallismedia Oy on toiminut seminaaritilaisuuden järjestäjänä ja tilittänyt provisiot seminaarien myynnistä. Ehdokkaat myyvät lippuja seminaariin itse valitsemilleen tahoille. Sama välitetty 11 780 euroa on merkitty myös kohtaan 2.8. Tarkempi erittely on kohdassa B.';'';'';'';'';'';'';'3869,55';'X';'';'11780';''
'0220';'Juhana';'Vartiainen';'kansanedustaja, valtiotieteiden tohtori';'Helsingin vaalipiiri';'KOK';'17.6.2019';'';'Työlinjalla r.y.';'71128,12';'10876,89';'';'';'23342,00';'';'19174,51';'1318,11';'10860,80';'639,73';'';'4916,08';'71128,12';'19284,12';'';'25296,00';'';'';'23148,00';'';'';'';'X';'';'';'X';'';'3400,00';'X';'';'';''
'0222';'Ben';'Zyskowicz';'kansanedustaja, oikeustieteen kandidaatti';'Helsingin vaalipiiri';'KOK';'17.6.2019';'25.9.2019';'Ben Zyskowiczin tukiryhmä';'38645,18';'12683,99';'';'';'13869,05';'';'';'8728,69';'1388,8';'1365,40';'';'609,25';'64955';'';'';'29865';'';'';'23860';'';'Helsingin Kansallismedia Oy:n 17370 maksu tukiyhdistykselleni on provisio talousseminaarilippujen myynnistä. Helsingin Kansallismedia Oy on toiminut seminaarin järjestäjänä ja tilittänyt lippujen myyjille provisiot. Ehdokkaat myivät lippuja itse valitsemilleen tahoille. Sama välitetty 17 370 € on merkitty myös kohtaan 2.8';'';'';'';'';'';'';'11230';'X';'Olemme 6.5.2019 palauttaneet Kouluinfo ry:lle 6000 euron tukimaksun ja Lapin Ääni ry:lle 1400 euron tukimaksun. Palauttamisen perusteena oli se, että emme tarvinneet näitä avustuksia kampanjan kulujen peittämiseksi.';'17370';''
'0227';'Tuula';'Haatainen';'kansanedustaja, valtiotieteen maisteri';'Helsingin vaalipiiri';'SDP';'13.6.2019';'';'Helsingin Kaakkoisen alueen sosialidemokraatit ry';'26721,38';'8780,02';'0';'10035,31';'251,00';'0';'3686,45';'1739,32';'0';'98,00';'870,00';'1261,28';'26721,38';'19241,70';'0';'950,00';'X';'';'50,00';'X';'';'299,68';'X';'';'950,00';'X';'';'5230,00';'X';'';'0';''
'0228';'Eveliina';'Heinäluoma';'yhteiskuntatieteiden maisteri';'Helsingin vaalipiiri';'SDP';'17.6.2019';'';'Eveliina Heinäluoman tukiyhdistys';'48174,05';'11927,02';'0';'0';'2200,00';'0';'18286,00';'1280,20';'1200,00';'2134,62';'0';'11146,21';'48174,05';'12364,05';'0';'20240,00';'';'';'0';'X';'';'0';'X';'';'900,00';'X';'';'14670,00';'';'';'0';''
'0241';'Pilvi';'Torsti';'kansanedustaja, valtiotieteen tohtori';'Helsingin vaalipiiri';'SDP';'11.6.2019';'';'';'39027,94';'8521,44';'';'8831,34';'5488,9';'';'3774,72';'5270,33';'';'1110,8';'650';'5380,41';'39027,94';'4496,74';'';'15581,2';'X';'117 yksittäistä lahjoittajaa. Pienin summa 10€, suurin 1490€.';'4950';'';'6 yrityslahjoittajaa, muut lahjoitukset kooltaan 100-800€.';'300';'X';'';'500';'X';'';'13200';'';'Yhteensä 12 muuta lahjoittajaa. Summat 500-1450€.';'';'Lisätiedot Pilvi Torsti 040-7191206'
'0242';'Erkki';'Tuomioja';'kansanedustaja, valtiotieteen tohtori';'Helsingin vaalipiiri';'SDP';'11.6.2019';'';'';'16910';'12846';'';'';'638';'1390';'';'645';'552';'';'';'839';'16910';'15700';'';'1210';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'0049';'Arja';'Juvonen';'geronomi AMK, kansanedustaja';'Uudenmaan vaalipiiri';'PS';'3.6.2019';'';'Arja Juvonen tukiyhdistys';'19019,30';'4095,33';'';'8760,22';'469,49';'';'';'2979,66';'';'1949,60';'';'765';'19019,30';'5757,63';'5000';'6510';'';'';'';'X';'';'';'X';'';'1451,67';'X';'';'300';'X';'';'';''
'0054';'Ari';'Koponen';'yrittäjä';'Uudenmaan vaalipiiri';'PS';'29.5.2019';'';'Koulussa ei kiusata ry';'9280,42';'';'';'';'2317,42';'';'';'3480';'3333';'150';'';'';'9280,42';'3140,42';'';'1980';'X';'saatu viideltä yksityishenkilöltä 1230eur rahaa ja 750 arvosta mainonnan suunnittelua';'3760';'X';'saatu neljältä yritykseltä 2000eur rahaa sekä 1760 eur arvosta mainonnan suunnittelua';'';'';'';'400';'X';'';'';'';'';'';''
'0063';'Arto';'Luukkanen';'dosentti, tutkija';'Uudenmaan vaalipiiri';'PS';'17.6.2019';'20.9.2019';'Arto Luukkasen kannatusyhdistys';'8009';'2543';'0';'0';'300';'0';'2460';'1725';'245';'403';'0';'333';'8009';'2600';'0';'3310';'';'Yksityishenkilöitä, joiden nimeä ei siis julkisteta, oli 4 kappaletta. ';'1799';'X';'';'';'X';'';'300';'X';'';'0';'X';'';'0';''
'0064';'Leena';'Meri';'varatuomari, kansanedustaja';'Uudenmaan vaalipiiri';'PS';'14.6.2019';'';'Leena Meri Eduskuntaan 2019';'31454,83';'9536,79';'';'';'50,24';'';'15439,22';'5538,03';'';'641,95';'';'248,60';'31583,22';'24363,22';'';'6770';'';'';'300';'X';'';'';'X';'';'150';'X';'';'';'X';'';'';'Tilille jäi rahaa 128,39 euroa. Kuluihin kohdassa C1 muut kulut lisätty polttoainekuluja 200 euroa ja samoin lisätty ehdokkaan omaan rahoitukseen polttoainekuluja 200 euroa. Maksettu bensaostosten yhteydessä ehdokkaan omalla pankkikortilla.'
'0066';'Mika';'Niikko';'yrittäjä, kansanedustaja';'Uudenmaan vaalipiiri';'PS';'18.6.2019';'3.10.2019';'Mika Niikkon tukiyhdistys';'41420,95';'9990,57';'1295,00';'6824,97';'6542,09';'3833,87';'5974,32';'1000';'0';'2335,67';'700,41';'2924,05';'41420,95';'6542,09';'3848,34';'13695,55';'';'';'12355,19';'';'';'0';'X';'';'0';'X';'';'4979,78';'';'';'0';''
'0067';'Riikka';'Purra';'valtiotieteiden maisteri, poliittinen suunnittelija';'Uudenmaan vaalipiiri';'PS';'12.5.2019';'23.7.2019';'Riikka Purran tukiyhdistys';'6154,60';'2625,26';'0';'0';'0';'0';'2302,70';'1166,64';'0';'0';'0';'60';'6154,60';'1401,64';'';'3552,96';'X';'';'400';'X';'';'';'X';'';'800,00';'X';'';'';'X';'';'0';''
'0073';'Riikka';'Slunga-Poutsalo';'puoluesihteeri, yrittäjä';'Uudenmaan vaalipiiri';'PS';'9.6.2019';'';'Riikka Slunga-Poutsalon tukiyhdistys';'9834,40';'3308,76';'0';'0';'230';'0';'3002,29';'1482,80';'0';'489,95';'0';'1320,60';'9834,40';'8324,40';'0';'710,00';'X';'';'800,00';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';''
'0113';'Antti';'Kaikkonen';'valtiotieteiden kandidaatti, kansanedustaja';'Uudenmaan vaalipiiri';'KESK';'16.6.2019';'2.9.2019';'Antti Kaikkosen tukiryhmä';'50713';'22887';'';'';'3293';'1240';'14288';'2389';'1000';'770';'752';'4094';'50713';'7181';'';'11303';'';'';'6857';'X';'';'';'X';'';'500';'X';'';'24872';'';'Seminaarilippuja';'4004';''
'0140';'Matti';'Vanhanen';'valtiotieteiden maisteri, kansanedustaja';'Uudenmaan vaalipiiri';'KESK';'11.6.2019';'';'Keskustan Lepsämän py';'26777';'17694';'';'';'63';'380';'422';'521';'';'3461';'';'4236';'26777';'614';'';'19213';'';'';'6950';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0141';'Eerikki';'Viljanen';'Maatalousyrittäjä';'Uudenmaan vaalipiiri';'KESK';'18.6.2019';'';'';'34746,2';'12925,22';'0';'0';'3510,11';'4501,20';'3654,00';'5435,2';'0';'4588,27';'0';'132,20';'34746,2';'24689,54';'0';'1950';'X';'';'4606,66';'X';'';'0';'X';'';'0';'X';'';'3500';'';'';'0';''
'0150';'Pia';'Kauma';'kauppatieteiden maisteri, kansanedustaja';'Uudenmaan vaalipiiri';'KOK';'17.6.2019';'13.9.2019';'Pia Kauman tukiryhmä/Olarin kokoomus';'59849,08';'7751,30';'3355,61';'';'2644,00';'';'36326,33';'3240,88';'2602,76';'123,80';'';'3804,40';'59849,08';'41966,38';'';'4140,00';'X';'';'7940,72';'X';'';'';'';'';'';'';'';'5801,98';'X';'';'';''
'0151';'Pihla';'Keto-Huovinen';'varatuomari, kihlakunnansyyttäjä';'Uudenmaan vaalipiiri';'KOK';'17.6.2019';'16.10.2019';'Momentum-ääni oikeutesi puolesta ry';'46090';'17696';'';'';'3461';'';'11778';'8429';'2170';'';'';'2556';'46090';'15973';'11477';'3140';'X';'Yksityishenkilöt, jotka ovat kampanjaani tukeneet ovat minulle tuttuja. ';'15500';'';'Lisäksi olen saanut useammalta yritykseltä yhteensä 2600 e tukea. Mikään näistä ei ole 1500 e. Yritykset ovat ostaneet Helsingin kansallismedia Oy:n (1096174-5) järjestämään Talous 2019-seminaariin lippuja ja tukiyhdistys on saanut Hgin Kansallismedia Oy:ltä tukea vastineeksi lippujen myynnistä. Helsingin kansallismedia Oy on tilitysten yhteydessä ilmoittanut lippuja ostaneet yritykset, jotka listattu yllä. Seminaari järjestettiin 4.4.2019. ';'0';'X';'';'0';'X';'';'0';'X';'';'14100';'Kulut ovat syntyneet 04/2018-04/2019 välillä, mutta liittyvät kaikki eduskuntavaaleihin. Tukiyhdistys perustettu lokakuussa 2018 ja osallistunut kuluihin vuoden 2019 puolella (yhteensä 18 634 e). Lainasta (25 000 e), vain osa eli 11 477 e käytetty vaaleihin. Ilmoituksessa sentit pyöristetty tasasummiksi.'
'0154';'Mia';'Laiho';'kansanedustaja, erikoislääkäri';'Uudenmaan vaalipiiri';'KOK';'12.6.2019';'';'';'51421,5';'24502,6';'';'';'';'';'22805,3';'2763,6';'350';'';'';'1000';'51421,5';'51421,5';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0156';'Elina';'Lepomäki';'diplomi-insinööri, kansanedustaja';'Uudenmaan vaalipiiri';'KOK';'15.6.2019';'';'Politiikkapaja ry';'115546,68';'11700,31';'2000,00';'22619,32';'12621,63';'1376,40';'51086,34';'4911,20';'1671,76';'5645,37';'801,30';'1113,05';'116461,50';'0';'0';'87711,50';'';'';'24750,00';'';'';'';'';'';'';'';'';'4000,00';'X';'';'';''
'0157';'Sari';'Multala';'kauppatieteiden maisteri, kansanedustaja';'Uudenmaan vaalipiiri';'KOK';'17.6.2019';'19.8.2019';'Kuninkaanmäen tuki ry';'34756';'13406';'';'';'1100';'';'10740';'4400';'700';'700';'1900';'1810';'34756';'11412';'';'7750';'X';'';'10444';'X';'';'';'X';'';'2000';'';'';'3150';'X';'';'';''
'0158';'Kai';'Mykkänen';'kansanedustaja, ekonomisti';'Uudenmaan vaalipiiri';'KOK';'17.6.2019';'9.10.2019';'Rohkeutta reformeihin ry';'64460,67';'15338,48';'0';'0';'1670,97';'0';'37301,72';'1151,62';'3854,20';'3834,91';'1308,77';'0';'64648';'5000';'0';'12548';'X';'';'28000';'X';'';'0';'X';'';'0';'X';'';'19100';'X';'';'0';'Kohdan 2.7. Tuki muilta tahoilta sisältää järjestöjen ostamat liput kahteen vaalien alla järjestämääni seminaariin, joiden ohjelmat julkaisin nettisivuillani. Ilmoituksen lomake ei erottele pienten lahjoituksia ja seminaarin lipputuloja, mutta tämän kampanjan kohdalla yli kolme neljäsosaa tuloista tuli kahden seminaarin osallistujamaksuista. '
'0170';'Ruut';'Sjöblom';'teologian maisteri, tutkija';'Uudenmaan vaalipiiri';'KOK';'17.6.2019';'27.9.2019';'Ruut Sjöblomin Tukiryhmä 2019';'102331,01';'8420,74';'';'23000,25';'2424,08';'4960';'9035';'31418,57';'5030,17';'149';'';'17893,20';'102331,01';'82841,01';'';'18000';'';'';'';'';'';'';'';'';'';'';'';'1490';'';'';'';''
'0172';'Kari';'Tolvanen';'kansanedustaja, rikosylikomisario';'Uudenmaan vaalipiiri';'KOK';'28.4.2019';'';'Espoon Kansallisseura ry';'10620';'4477';'3355';'';'';'';'';'1538';'';'250';'';'1000';'10620';'9150';'';'1470';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'X';'';'';'Kampanjaan yhteensä 1470€ lahjoittaneet ovat ystäviäni ja ja pitkäaikaisia tuttujani.Kohdassa ”muut kulut” maksamani 1000€ suoritus on Uudenmaan Kokoomukselle maksettu ehdokasmaksu.'
'0175';'Raija';'Vahasalo';'rehtori';'Uudenmaan vaalipiiri';'KOK';'17.6.2019';'';'Vox Terranova ry';'51038,18';'24426,65';'0';'0';'1174,09';'0';'8719,66';'12406,98';'3310,8';'0';'0';'1000';'51038,18';'49358,18';'0';'680';'X';'';'1000';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';''
'0176';'Heikki';'Vestman';'oikeustieteen maisteri, lakimies';'Uudenmaan vaalipiiri';'KOK';'17.6.2019';'';'Suomelle turvaa ry';'113655,13';'9398,09';'480,00';'13760,03';'9717,63';'';'51531,08';'19117,54';'1550,00';'5223,37';'';'2877,39';'114247,62';'27071,5';'';'30245,00';'';'';'52431,12';'';'';'';'';'';'4000';'';'';'500';'X';'';'';''
