'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0002';'Sanni Kaisa                   ';'Grahn-Laasonen               ';'ulkoministerin avustaja, valtiotieteiden maisteri           ';'Hämeen vaalipiiri               ';'KOK ';'Kansainvälisen Suomen Puolesta ry';'69552,36';'17355,35';'0';'0';'635,08';'1910,64';'30654,44';'9891,66';'1112,40';'3450,25';'2410,84';'2131,70';'69637,96';'5498,08';'15000';'9764,70';'X';'';'11852';'X';'';'0';'X';'';'26073,18';' ';'';'1450';'X';'';'1835';'Edellä ilmoitetun lisäksi vaaliesitteeni oli mukana puolueen postittamassa kirjeessä vaalipiirin nuorille äänestäjille.'
'0022';'Hannu Erkki Johannes          ';'Koskinen                     ';'kansanedustaja, varatuomari                                 ';'Hämeen vaalipiiri               ';'SDP ';'';'24613';'16839';'';'';'309';'';'';'3314';'295';'524';'';'3332';'24613';'18213';'';'';' ';'';'1000';'X';'Vaalituki Tradeka-yhtymältä, jonka jäsenvaalilla valitun edustajiston jäsen olen, ';'';' ';'';'2500';' ';'';'2900';'X';'Vaalituet ammattiliitoilta ja ammattiosastoilta,';'';''
'0023';'Tarja Katarina                ';'Filatov                      ';'kansanedustaja, tiedottaja                                  ';'Hämeen vaalipiiri               ';'SDP ';'';'20901,42';'14292,51';'';'';'844,89';'';'';'3282,24';'';'1438,44';'1006,14';'37,2';'20901,42';'12148,35';'';'1000';'X';'';'2000';' ';'';'';' ';'';'2500';' ';'';'3253,07';'X';'';'';'Osa yksityishenkilöiltä saaduksi ilmoitetusta tuesta on ollut kampanjatulitikkuaskeja. Olen osallistunut SDP:n piirijärjestön, naisjärjestön, kunnallisjärjestöjen ja puolueyhdistysten tilaisuuksiin sekä muiden tahojen vaalipaneeleihin, joiden järjestäjä on vastannut niiden kuluista.  Olen saanut Demarinaisilta ja ammattiliitoltani JHL:ltä kukkien siemeniä kampanjamateriaaliksi. Kohta &quot;Vaalilehtien, esitteiden ja muun painetun materiaalin hankinta&quot; sisältää vaaliesitteen jakelukustannukset.'
'0003';'Timo Pasi Petteri             ';'Heinonen                     ';'kansanedustaja, kasvatustieteen maisteri                    ';'Hämeen vaalipiiri               ';'KOK ';'';'88093,05';'16390,86';'';'25133,57';'1218,75';'';'811,80';'24924,98';'307,50';'5368,94';'9819,66';'4116,99';'88093,05';'2500,00';'';'28700,05';' ';'Kohdan b tuki on taidegrafiikkaa, Jouni Arolainen yhteensä 3000€, Muutoin yksityisiltä saatu tuki jakaantui seuraavasti (kaikki alle 1500€): taidegrafiikka 1900€, seminaariliput 2440€, tuotemyynti 3500€, muu tuki 12860,05€,';'48393,00';' ';'Lisäksi H,G, Paloheimo Oy tukea 800€ eli yhteensä 3000€, Marecap Trans Oy yhteensä 3500€, Muutoin yrityksiltä saatu tuki jakaantui seuraavasti (kaikki alle 1500€): taidegrafiikka 6200€, seminaariliput 10200€ sis, aiemmin tässä lisätietoa kohdassa mainitun H,G,Paloheimo Oy:n 800e, tuotemyynti 3050€, vaalilehtimainokset 1350€ ja muu tuki 21893€,';'';'X';'';'8500,00';' ';'Lisäksi muilta puolueyhdistyksiltä (kaikki alle 1500€) yhteensä 2200€,';'';' ';'';'';'Lisäksi kampanjan käyttöön ovat vastikkeetta yritykset ja yksityiset henkilöt antaneet mainosteippauksin varustettuna 12 kpl pakettiautoja ja 2 kpl henkilöautoja. Maanomistajat ovat antaneet pelloiltaan joko ladonseiniä tai traktorinlavoja kampanjamme mainoskäyttöön eri puolilla Hämettä 12 kpl.                                          Lisäksi kampanjan aktiivisimmassa tukiryhmässä on toiminut 31 eri henkilöä antaen talkoopanosta mm. toritapahtumissa ja kahvituksissa sekä kampanjan suunnittelussa ja toteutuksessa.                                          Kampanjan julkisessa tukiryhmässä on ollut mukana yli 700 julkista tukijaa, jotka ovat antaneet erilaista työpanosta kampanjalle mm. toimimalla aktiivisesti netissä (Facebook, Twitter).                                          Lisäksi lausuntataiteilija Anja Jaakkola on osallistunut yhteen tilaisuuteen lausuen runoja ja samassa tilaisuudessa opettajat Leila Tschokkinen-Passoja ja Petri Lindberg ovat esittäneet musiikkia. Eri tanssikoulujen nuoria on osallistunut esiintyen mm. kampanjamme avaukseen ja muihin tilaisuuksiin.                                          Lisäksi taiteilija Jukka Rintala suunnitteli kampanjalle kahvikupin.                                          '
'0015';'Ilkka Antero                  ';'Viljanen                     ';'kansanedustaja, yrittäjä                                    ';'Hämeen vaalipiiri               ';'KOK ';'';'46557,56';'9630,30';'';'10792,66';'';'';'12824,70';'6724,40';'1648,25';'2206,75';'';'2730,50';'46557,56';'8517,56';'';'4300,00';'X';'';'28700,00';' ';'';'';' ';'';'3150,00';' ';'Kokoomuksen Kunnallisjärjestöltä saatu tuki 3150 euroa koostui Kunnallisjärjestön järjestämän seminaarin seminaarilippujen myyntiprovisiosta 21x150 euroa,';'1890,00';' ';'Arkadian talouspoliittinen seura ry:n tukisuoritus 1890,00 euroa koostuu kyseisen seuran järjestämän seminaarin lippujen myynnistä 3x630,00 euroa,';'';'Kampanjan tukemiseen ovat osallistuneet ilman rahallista tukea ja ilman vastikevaatimuksia yksittäisiä maanomistajia antamalla ulkomainospaikkoja omalta maaltaan tai rakennuksista sekä henkilöitä jotka ovat  henkilökohtaisessa omistuksessa olevista ajoneuvoista antaneet mainospaikan ilman vastiketta. Muut kulut erittelyssä sisältävät vaalikahvilan sekä siihen liittyvän maan vuokran.'
'0024';'Jouko Juhani                  ';'Skinnari                     ';'kansanedustaja, lakimies                                    ';'Hämeen vaalipiiri               ';'SDP ';'';'41300';'21500';'1200';'';'';'';'13500';'4000';'';'1100';'';'';'41300';'1300';'40000';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0036';'Sirkka Liisa                  ';'Anttila                      ';'hallintonotaari, kansanedustaja               ';'Hämeen vaalipiiri               ';'KESK';'Hämeen Parhaaksi ry';'34015,33';'14017,26';'';'1578,07';'';'3000';'';'12352,63';'';'2200,55';'';'866,82';'34110';'1050';'25000';'910';'X';'';'7150';' ';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0046';'Juha Tapani                   ';'Rehula                       ';'sosiaali- ja terveysministeri, sosionomi                    ';'Hämeen vaalipiiri               ';'KESK';'';'36367';'18668';'2615';'0';'2576';'0';'4069';'1771';'1759';'842';'';'4067';'36367';'7995';'6000';'2190';'X';'';'5305';'X';'Lisäksi Keskustan Hollolan Kunnallisjärjestö ry,n järjestämien arpajaisten voitoiksi on saatu lahjoituksia arvoltaan yhteensä arvoltaan yhteensä 1530 euroa,';'0';'X';'';'14877';' ';'Keskustan Hollolan kunnallisjärjestö järjesti vaalityön tukemiseksi tavara-arpajaiset, joiden nettotuotto oli 11877 euroa, Voittojen hankintakulu oli 3600 euroa (maksettiin arpajaisten myyntitulosta), Arpajaisten järjestämisen muut kulut olivat 323 euroa, Arpajaisvoitoiksi saatiin yrityksiltä lahjoituksia yhteensä 1530 eurolla, Yllä olevassa kampanajan rahoitusosassa on ilmoitettu arpajaisten nettotuotto,';'0';' ';'';'';''
'0074';'Aino-Kaisa Ilona              ';'Pekonen                      ';'lähihoitaja                                                 ';'Hämeen vaalipiiri               ';'VAS ';'';'29574,15';'11356,31';'3620,21';'0';'1521,70';'0';'1373,18';'7029,17';'0';'3123,58';'0';'1550';'29574,15';'6625,14';'';'4190,71';'X';'';'1400';'X';'';'7290';' ';'';'5068,3';' ';'';'5000';' ';'';'';''
'0095';'Päivi Maria                   ';'Räsänen                      ';'kansanedustaja, lääketieteen lisensiaatti                                  ';'Hämeen vaalipiiri               ';'KD  ';'Pro Civitate Sana';'21300';'14337';'';'';'';'';'4820';'';'';'710';'478';'955';'21300';'5043';'';'3449';'X';'';'3033';'X';'';'6553';' ';'';'3222';' ';'';'';' ';'';'';''
'0027';'Perttu Iisakki                ';'Kiemunki                     ';'toimittaja, hallintotieteiden maisteri                      ';'Hämeen vaalipiiri               ';'SDP ';'';'29166,78';'7888,73';'0';'0';'1276,14';'590,40';'0';'14933,43';'2817,20';'1108,15';'528,70';'24,03';'30480';'16440';'0';'1370';'X';'';'4920';'X';'';'0';'X';'';'2500';' ';'';'5250';' ';'HPK-naiset ry:n  tuki sisältää  ilmoituksen Hämeen sanomien välissä ilmestyneessä seuran ilmoitusliitteessä, T-paitoja ja seminaarilippuja,';'0';''
'0023';'Vesa-Matti                    ';'Saarakkala                   ';'yhteiskuntatieteiden kandidaatti';'Vaasan vaalipiiri               ';'PS  ';'Vesa-Matti Saarakkalan tukiyhdistys';'21544,61';'8130,55';'0';'0';'246';'0';'3095,95';'3339,10';'508,12';'3153,94';'0';'3070,95';'21544,61';'12012,61';'0';'4844';'X';'';'3359';'X';'';'0';'X';'';'1329';'X';'';'0';'X';'';'1115';'Olen saanut rahallisia tukisuorituksia vaalikampanjaani yhteensä 18 yksityishenkilöltä ja 13 yritykseltä ja siinä on mukana myös välitetty tuki, joka on tullut kurikan Perussuomalaiset ry:n kautta. Lisäksi olen saanut tukisuorituksia kolmelta puolueyhdistykseltä: Kurikan Perussuomalaiset ry:ltä rahallista tukea ja Perussuomalaisten Etelä-Pohjanmaan piiri ry:ltä tukea makeisina (tavarana). Perussuomalaiset Nuoret ry:ltä sain tukena makeisia sekä mainontaa tietoverkoissa. Mainonnan arvo oli 246 euroa. Lisäksi olen saanut yksityishenkilöiltä tukisuorituksia tavarana 200 euron arvosta.'
'0063';'Tuomo Matti Oskari            ';'Puumala                      ';'kansanedustaja, yhteiskuntatieteiden maisteri               ';'Vaasan vaalipiiri               ';'KESK';'Tulevaisuuden Rakentajat ry.';'50691,68';'21810,55';'0';'5416,05';'455,10';'400';'2431,24';'3964,09';'1690,74';'900';'3877,43';'9746,48';'51946';'10000';'0';'15016';'X';'Yksityishenkilöt saattoivat tukea kampanjaa perunapussin ostolla 10 euron kappalehintaan, Perunapusseja myytiin yksityishenkilöille noin 1000 kappaletta, Yksityishenkilöiden alle 1500 euron lahjoitukset olivat niin ikään mahdollisia,';'8130';'X';'Yrityksillä oli mahdollisuus ostaa perunapusseja tai tukea kampanjaa suoralla rahalahjoituksella, Perunapusseja myytiin yrityksille 263 kappaletta 10 euron kappalehintaan, Suorat rahalahjoitukset on ilmoitettu lisätiedoissa, vaikka kaikki olivat alle 1500 euron suuruisia,';'300';'X';'';'16850';' ';'';'1650';'X';'';'0';'Tässä vaalirahoitusilmoituksessa esitettyjen kampanjakulujen lisäksi sain Keskustan Keski-Pohjanmaan piirin kustantamaa näkyvyyttä lehdissä ja internetissä. Lisäksi maalaislääkäri Tapani Kiminkinen oli luennoimassa vaalituvalla yksityishenkilön kustantamana.                                                                  Avoimuutta ja läpinäkyvyyttä edistääkseni haluan avata myös kampanjaa suoraan tukeneiden yritysten nimet ja tukisummat, vaikka kaikki lahjoitukset ovat olleet alle 1500 euron suuruisia. Kampanjaa tukivat rahalahjoituksella seuraavat yritykset: Kaustisen Pelimanniravintola Ky 200e, Best-Hall Oy 300e, Veli-Matti Jylhä Oy 300e, Medi Orto Oy 500e, Klemolan Betoni Oy 500e, Medirex Oy 500e, Linex-Boat Oy 750e, Jetta-Talo Oy 1000e, Kotimaani on Suomi Oy 1450e.    '
'0151';'Petri Antero                  ';'Pihlajaniemi                 ';'yrittäjä                                    ';'Vaasan vaalipiiri               ';'KOK ';'Suupohjan alueen tukiyhdistys ry';'42357,76';'22850,26';'1845';'4432,53';'549';'';'5568,35';'3377,97';'2583';'1071,95';'';'79,70';'43567,77';'30388,40';'0';'2710';'X';'';'8900';'X';'';'0';' ';'';'0';' ';'';'1569,37';'X';'';'0';''
'0072';'Lars Erik                     ';'Gästgivars                   ';'företagarråd, Riksdagsledamot  ';'Vaasan vaalipiiri               ';'RKP ';'';'72778';'33796';'922';'';'2149';'27132';'';'5487';'1845';'1447';'';'';'72778';'72778';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0026';'Eeva Maria                    ';'Tolppanen                    ';'toimittaja                                                  ';'Vaasan vaalipiiri               ';'PS  ';'';'10608,13';'1829,95';'980,00';'3321,88';'270,00';'00';'958,00';'1033,24';'';'974,12';'00';'1240,94';'10608,13';'6502,07';'';'2296,06';'X';'';'1510,00';'X';'';'';' ';'';'300,00';'X';'';'00';'X';'';'';'Yksityishenkilöiltä saatu tuki: Rahat tukitilille, vaalitapahtumakuluja, ulkomainontaa ja lahjaksi saatuja arpajaisvoittoja.      Yrityksiltä saatu tuki: Lehti-ilmoitus ja ulkomainontaa sekä nettimainontaa      Puolueyhdistyksiltä saatu tuki: Perussuomalaisilta naisilta 300 € lehti-ilmoituksiin            Muu tuki: Puolueelta vaalimateriaalia kuten karmelleja, tulitikkuja, lehtia jne.      Piirijärjestö on maksanut yhteispaikat messuilla ja markkinoilla'
'0075';'Mikael Johan Bernhard         ';'Käld                         ';'lärare                                                      ';'Vaasan vaalipiiri               ';'RKP ';'';'23420,14';'5380,03';'';'';'400,24';'';'3976,59';'12603,70';'565,80';'460,08';'';'33,70';'23420,14';'1231,14';'';'2455';'X';'';'11234';' ';'';'4000';' ';'';'3500';'X';'';'1000';'X';'';'';''
'0057';'Mika Tapani                   ';'Lintilä                      ';'kansanedustaja, hallintotieteiden kandidaatti               ';'Vaasan vaalipiiri               ';'KESK';'';'50645,93';'27862,73';'0,00';'10609,15';'0,00';'0,00';'3197,51';'3977,82';'4998,72';'0,00';'0,00';'0,00';'50645,93';'15640,93';'0,00';'6805,00';'X';'';'10000,00';'X';'';'0,00';'X';'';'8300,00';' ';'';'9900,00';'X';'';'0';''
'0117';'Peter Johan                   ';'Östman                       ';'Riksdagsledamot                      ';'Vaasan vaalipiiri               ';'KD  ';'Mera Företagare rf/Peters KD Team';'50373';'26015';'866';'';'';'501';'2344';'10848';'';'1614';'';'8185';'50373';'3029';'';'13376';'X';'Privatpersoners antal 230, Inkluderer varuföfsäljning till privatpersoner, Aarikka lakanset á 65 euro,';'27430';'X';'Företagens antal 45';'';' ';'';'5538';'X';'';'1000';'X';'Finlands Pälsdjursuppfödares Förbund';'1544,44';''
'0100';'Harry Olavi                   ';'Wallin                       ';'veturinkuljettaja                                           ';'Vaasan vaalipiiri               ';'SDP ';'Ihmisten Puolesta ry';'24616';'13410';'0';'4801';'184';'510';'2074';'1382';'614';'799';'0';'842';'24616';'7601';'0';'1180';'X';'';'4400';'X';'';'0';'X';'';'3000';'X';'Jouduin ruksaamaan &quot;ei sisällä tukea&quot;, kun muutoin en olisi saanut lähetettyä sähköisesti, Seinäjoen Työväenyhdistys tuki 3000 eurolla vaalikampnjaani rek, n:o 715';'8435';' ';'';'0';''
'0158';'Janne Daniel                  ';'Sankelo                      ';'rehtori, kasvatustieteiden maisteri                         ';'Vaasan vaalipiiri               ';'KOK ';'Janne Sankelon tukiryhmä';'43087,32';'15239,22';'';'7500,00';'';'';'8946,73';'5607,44';'1672,80';'3747,73';'';'373,40';'43087,32';'3000';'';'10032,78';' ';'';'12010,00';' ';'';'';' ';'';'16544,54';' ';'';'1500,00';' ';'Summa sisältää MTK:n ja STKL:n tuet, jotka on aiemmin julkistettu,';'';''
'0073';'Anna-Maja Kristina            ';'Henriksson                   ';'riksdagsledamot, VH, kansanedustaja, varatuomari            ';'Vaasan vaalipiiri               ';'RKP ';'Fram med Österbotten,stödgruppen';'36952';'10415';'0';'0';'1953';'0';'1834';'12219';'3420';'3236';'0';'3875';'36952';'637';'0';'1610';'X';'';'17705';'X';'Bidrag av 46 olika företag';'6000';' ';'';'10000';' ';'';'1000';'X';'';'';''
'0051';'Lasse Tapani                  ';'Hautala                      ';'kansanedustaja, agrologi                                    ';'Vaasan vaalipiiri               ';'KESK';'Pohjanmaamme 2020 ry';'79145,41';'34250,71';'1099,99';'10152,90';'';'';'2824,52';'17856,52';'5232,42';'';'2080,00';'5648,35';'79168,28';'11979,27';'10000,00';'6467,05';'X';'';'30821,96';'X';'';'';' ';'';'18400,00';' ';'';'1500,00';'X';'';'';'Vaalirahoitusilmoitusta täydennetään, mikäli viimeisten laskujen maksuun sovitut yritysrahoitusosuudet eivät toteudu sovitusti.'
'0013';'Reijo Henrik                  ';'Hongisto                     ';'vanhempi konstaapeli                                        ';'Vaasan vaalipiiri               ';'PS  ';'Pohjanmaan puolesta ry';'29830,42';'12686,66';'2283,00';'1702,52';'686,44';'';'4670,07';'4051,99';'1119,30';'2630,44';'';'';'30421,40';'4817,14';'';'4839,26';'X';'';'16465,00';'X';'';'';' ';'';'4300,00';' ';'';'';' ';'';'';'Pääasiallinen vaalirahoitus koostuu kahdesta tukiyhdistyksen nimissä tehdystä ja julkaistusta vaalilehdestä, joihin yritykset ostivat mainostilaa. Kaikki myydyt mainokset olivat arvoltaan alle 1500 euroa.            Kampanjaa tuki myös Suomen Turkistuottajain liitto 1000 euron summalla, joka on kirjattu yrityksiltä saatuun tukeen.'
'0050';'Esko Olavi                    ';'Ahonen                       ';'rakennusinsinööri                           ';'Vaasan vaalipiiri               ';'KESK';'Suomen Pohjanmaa r.y.';'68632,95';'16022,51';'5027,00';'4856,72';'66,48';'0,00';'4345,63';'18477,66';'11450,91';'5120,04';'1845,00';'1421,00';'68632,95';'7050,00';'10096,06';'10581,45';'X';'Pääasiassa arpojen, turvaliivien ja kirjojen myyntituloja, Muutamat yksityishenkilöt tukivat myös vaalikampanjaa lahjoituksin, Yksikään lahjoitus ei ylittänyt 1500 euroa,';'25750,42';'X';'Tuki muodostuu pääasiassa Esko Ahosen seinäkalenterin 2011 sekä vaaliliitteen ilmoitustuloista, Yrityksillä oli myös mahdollisuus tukea lahjoituksin vaalikampanjaa, Yksikään tuki ei ylittänyt 1500 euroa,';'0,00';'X';'';'13555,00';' ';'';'1600,02';'X';'';'0,00';''
'0150';'Markku Antero                 ';'Mäntymaa                     ';'komisario                                                   ';'Vaasan vaalipiiri               ';'KOK ';'';'55903,42';'19202,25';'1230,00';'8005,44';'861,00';'';'2530,12';'1182,43';'2328,83';'4526,38';'11602,00';'4434,97';'57988,00';'3000,00';'';'4948,00';'X';'';'50040,00';' ';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0064';'Mikko Tapio                   ';'Savola                       ';'kansanedustaja, tradenomi, maatalousyrittäjä';'Vaasan vaalipiiri               ';'KESK';'Turvallinen kotiseutu ry';'51599';'16512';'';'6243';'10518';'2170';'2627';'2637';'2760';'1328';'4304';'2500';'51599';'4981';'20000';'14333';' ';'Yksityishenkilöiden tuki koostuu luutien, puukukkien, hyrrien, CD-levyjen, illalliskorttien ja tilaisuuksissa olleiden arpojen myynnistä sekä suorasta tuesta,';'7245';'X';'Yritystuki koostuu suorasta tuesta tukiyhdistyksen tilille sekä Viiskunta-lehdessä olleen vaaliliitteen mainosmyynnistä,';'';' ';'';'5040';' ';'';'';'X';'';'';''
'0083';'Cecilia Ulla-Maj              ';'Wideroos                     ';'riksdagsledamot                                             ';'Vaasan vaalipiiri               ';'RKP ';'Österbottnisk handlingskraft';'16028,56';'5515,86';'0';'0';'20,00';'80,00';'362,85';'5548,43';'2562,40';'1533,19';'0';'405,83';'16028,56';'414,16';'0';'6614,40';'X';'Fiskmiddag m,m,';'1000,00';' ';'';'6000,00';' ';'';'0';'X';'';'2000,00';'X';'';'0';''
'0078';'Mats Johan                    ';'Nylund                       ';'jordbrukare, riksdagsledamot                                ';'Vaasan vaalipiiri               ';'RKP ';'Landsbygdens val';'26012,73';'9841,37';'';'';'2564,99';'';'4953,10';'5815,44';'826,66';'1521,80';'';'489,37';'29343';'';'';'455';'X';'';'17660';'X';'Största delen av företagens bidrag består av intäkter från annonser i min valtidning,  Antalet annonser översteg 60 stycken,';'1000';'X';'';'1250';'X';'';'8978';' ';'Övriga bidrag under 2,7 består av 1000 € från Finland pälsdjursuppfödares förbund och resterande delen av mindre från producentorganisationens lokalavdelninar,';'';'Den del av insamlade medels om blev över kommer att användar för att ordna tre stycken större träffar på olika ställen i Östrabotten där de som på olika sätt deltagit i kampanjen samlas för att utvärdera kampanjarbetet.'
'0089';'Miapetra Susanna              ';'Kumpula-Natri                ';'kansanedustaja, insinööri                                   ';'Vaasan vaalipiiri               ';'SDP ';'';'43996,11';'7757,42';'237,99';'8033,10';'3866,43';'';'2618,97';'13156,47';'2489,70';'893,18';'899,40';'4043,45';'43996,11';'16557,11';'';'3689';'X';'Lahjoituksia tekstiviestein ja tukitilille, pientä pussukka ja kaulaliinamyyntiä';'10790';'X';'Loput muille yrityksille myytyjä seminaarilipputuloja, 470-590 e/kpl,';'';'X';'';'1000';'X';'';'11960';' ';'Loput muille tahoille myytyhä seminaarilipputuloja, 470-590 e/kpl ja muutama lahjoitus,';'';''
'0097';'Jutta Pauliina                ';'Urpilainen                   ';'kansanedustaja, opettaja                                    ';'Vaasan vaalipiiri               ';'SDP ';'';'35569,40';'20625,70';'0';'0';'2232,45';'2711,82';'1686,20';'4121,44';'609,47';'214';'0';'3368,32';'35569,40';'15476,01';'';'';' ';'';'';' ';'';'20093,39';' ';'';'';' ';'';'';' ';'';'';''
'0018';'Harri Tapani                  ';'Leppälä                      ';'eläkeläinen                                                 ';'Vaasan vaalipiiri               ';'PS  ';'Yhdenvertainen Pohjanmaa ry';'6320';'0';'0';'0';'0';'307,5';'0';'5082,67';'0';'0';'0';'929,83';'6320';'5425';'0';'295';'X';'';'600';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'0';''
'0108';'Kari-Matti                    ';'Korhonen                     ';'pastori                                                     ';'Vaasan vaalipiiri               ';'KD  ';'Kari Korhosen tukiryhmä';'3868,85';'2808,85';'810';'';'';'';'';'';'90';'120';'';'40';'4095,95';'540';'';'875';'X';'';'2680,95';'X';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0156';'Paula Sinikka                 ';'Risikko                      ';'terveystieteiden tohtori, peruspalveluministeri             ';'Vaasan vaalipiiri               ';'KOK ';'';'58125,10';'21702,37';'3000,00';'13543,37';'20,00';'0,00';'4569,96';'8015,08';'3061,00';'1987,28';'0,00';'2226,04';'59817,33';'0,00';'0,00';'17016,00';' ';'';'38101,33';' ';'';'0,00';' ';'';'2000,00';'X';'';'2700,00';'X';'Kokonaissumma sisältää MTK:n ja STKL/SÖP/PSTK:n tuet, jotka on aiemmin julkistettu, Molempien tahojen antama tuki on 1000 euroa,';'0,00';''
'0021';'Markus Samuli                 ';'Lohi                         ';'lakiasiainjohtaja, OTK                                      ';'Lapin vaalipiiri                ';'KESK';'';'43223,02';'19607,96';'';'3398,73';'1910,68';'';'1490,00';'7790,92';'2306,25';'1925,00';'';'4793,48';'43223,02';'10307,02';'';'3010';'X';'';'18739';'X';'';'';'X';'';'1050';'X';'';'10117';'X';'Muilta tahoilta saatu tuki koostuu pääasiassa arpajaistuloista ';'';''
'0066';'Ulla Marita                   ';'Karvo                        ';'hallintojohtaja';'Lapin vaalipiiri                ';'KOK ';'Lapin toivot ry';'49610';'22734,03';'';'13637,15';'';'';'5003,42';'1057,56';'5814,46';'363,38';'';'1000';'49610';'11550';'';'18510';' ';'';'19550';' ';'';'';'X';'';'';'X';'';'';'X';'';'';''
'0081';'Johanna Katriina              ';'Ojala-Niemelä                ';'kansanedustaja, varatuomari                                 ';'Lapin vaalipiiri                ';'SDP ';'';'30656,74';'14769,00';'';'3899,15';'';'';'2218,92';'3856,32';'3123,34';'1810,83';'';'979,18';'30656,74';'8371,85';'12000,00';'540,00';'X';'';'750,00';'X';'';'';' ';'';'5544,89';' ';'Tuki saatu konaisuudessaan Rovaniemen Sos,Dem, Ty:ltä, jonka rahoitus koostuu jäsenmaksuista, luottamusmiespalkkioista ja vuokratuloista,';'3450,00';'X';'';'';''
'0039';'Hanna Katariina               ';'Mäntylä                      ';'erikoisnuorisotyöntekijä, opiskelija                        ';'Lapin vaalipiiri                ';'PS  ';'';'9681,93';'1340,79';'376,38';'';'492,00';'';'2091,00';'3672,79';'100,00';'100,00';'';'1508,97';'9681,93';'4681,93';'5000,00';'';'X';'';'';'X';'';'';'X';'';'';'X';'Perussuomalaiset Naiset ry antanut vaalitukea 300 euroa/naisehdokas, Tuki käytetty Lapin piirin naisehdokkaiden yhteismainontaan,';'';'X';'';'';''
'0059';'Heikki Samuli                 ';'Autto                        ';'hallintotieteiden maisteri, kansanedustaja';'Lapin vaalipiiri                ';'KOK ';'';'70266,33';'30390,19';'1400';'13867,02';'48,33';'';'4083,4';'4046,81';'12011';'3334,08';'';'1085,50';'70266,33';'21059,21';'';'8600';' ';'';'16946,12';' ';'';'';' ';'';'23661';' ';'';'';' ';'';'';'Rovaniemen Kokoomusnuorten järjestämiin arpajaisiin, joiden tuotolla tuettiin vaalikampanjaa, palkinnot (kolme öljyvärityötä) lahjoitti rovaniemeläinen taitelija Otto Suutari. Taulujen arvo yhteensä 3300 euroa.'
'0022';'Eeva Maria Kustaava           ';'Maijala                      ';'varatuomari, agrologi                                       ';'Lapin vaalipiiri                ';'KESK';'';'44765';'23591';'';'3707';'148';'';'1977';'7245';'';'1002';'4051';'3044';'44765';'31445';'';'10660';'X';'';'1810';'X';'';'';'X';'';'300';'X';'';'550';'X';'';'';''
'0024';'Simo Arttur                   ';'Rundgren                     ';'teologian maisteri, projektijohtaja                         ';'Lapin vaalipiiri                ';'KESK';'';'36485,00';'16013,00';'';'4001,00';'';'';'1251,00';'4000,00';'';'1587,00';'';'9633,00';'36485,00';'8029,00';'0,00';'2508,00';'X';'';'13848,00';' ';'';'0,00';'X';'';'400,00';'X';'';'11700,00';'X';'';'';'Pellopuu OY:n 3300 € on arpajaisten pääpalkinnon eli hirsiaitan erikoisalennus. '
