'Ehdokasnumero';'Etunimet';'Sukunimi';'Arvo/ammatti/tehtava';'Vaalipiiri/Kunta';'Puolue';'Ehdokkaan mahdollisen tukiryhman nimi';'Vaalikampanjan kulut yhteensa';'Sanoma- ilmaisjakelu- ja aikakauslehdet';'Radio';'Televisio';'Tietoverkot';'Muut viestintavalineet';'Ulkomainonta';'Vaalilehtien esitteiden ja muun painetun materiaalin hankinta';'Mainonnan suunnittelu';'Vaalitilaisuudet';'Vastikeellisen tuen hankintakulut';'Muut kulut';'Vaalikampanjan rahoitus yhteensa';'2.1 Rahoitus sisaltaa omia varoja yhteensa';'2.2 Rahoitus sisaltaa ehdokkaan ja tukiryhman ottamia lainoja yhteensa';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa';'2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta ("x")';'2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa';'2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta ("x")';'2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa';'2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta ("x")';'2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa';'2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta ("x")';'2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa';'2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta ("x")';'2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti';'2.8 Rahoitus sisaltaa valitettya tukea yhteensa';'E. vapaaehtoinen erittely'
'0066';'Aila Annikki                  ';'Paloniemi                    ';'kansanedustaja, toimittaja                                  ';'Keski-Suomen vaalipiiri         ';'KESK';'Aila Paloniemen tukiryhmä';'27486,05';'17245,56';'808';'';'1007,50';'';'430,50';'2112,54';'';'3485,79';'650,55';'1745,61';'27486,05';'2089,55';'18500';'2677';'X';'Yksityisiä lahjoittajia 41 (kaikki lahjoitukset alle 1500 euroa)';'3969,50';'X';'Yrityksiä, jotka lahjoittivat on yhteensä 6 (yksikään lahjoitus ei ylitä 1500 euroa)';'';' ';'';'';' ';'';'250';'X';'';'';''
'0102';'Osmo Urmas                    ';'Kokko                        ';'kuljetusyrittäjä           ';'Pohjois-Karjalan vaalipiiri     ';'PS  ';'';'15530,80';'12322,26';'';'';'337,20';'566,92';'';'1584,41';'';'720';'';'';'15530,80';'14080,80';'';'450';'X';'';'1000';'X';'';'';' ';'';'';' ';'';'';' ';'';'';''
'0070';'Sirpa Helena                  ';'Suikkanen                    ';'yrittäjä, erikoissairaanhoitaja                             ';'Pohjois-Karjalan vaalipiiri     ';'KD  ';'';'19339,27';'11336,66';'';'';'17,50';'';'434,19';'2047,90';'';'1999,14';'';'3503,88';'19339,76';'3878,01';'';'2225';'X';'';'';' ';'';'8640';' ';'tukea maksettu KD P-K piirille (Y-tunnus 0428601-8)';'4596,75';'X';'';'';' ';'';'';''
'0030';'Eero Juhani                   ';'Reijonen                     ';'kansanedustaja                                              ';'Pohjois-Karjalan vaalipiiri     ';'KESK';'';'73240';'33115';'650';'10095';'';'';'';'16930';'';'12450';'';'';'73240';'21290';'10000';'4350';'X';'';'37500';'X';'';'';' ';'';'100';'X';'';'';' ';'';'';''
'0035';'Anu Helena                    ';'Vehviläinen                  ';'kansanedustaja, liikenneministeri                           ';'Pohjois-Karjalan vaalipiiri     ';'KESK';'Pohjois-Karjalan puolesta ry';'60605,00';'32379,37';'599,01';'';'181,42';'1327,17';'940,95';'4625,83';'6801,90';'7079,31';'';'6670,04';'60605,00';'26900,00';'13000,00';'2905,00';'X';'';'15950,00';' ';'';'';'X';'';'1150,00';'X';'';'700,00';'X';'';'';''
'0008';'Riitta Mailis Mirjami         ';'Myller                       ';'kansanedustaja, yhteiskuntatieteiden maisteri     ';'Pohjois-Karjalan vaalipiiri     ';'SDP ';'';'21711';'9108';'803';'';'';'';'150';'3140';'120';'2555';'';'5835';'21711';'12850';'';'950';'X';'';'';' ';'';'';' ';'';'3500';' ';'';'4411';'X';'';'';''
'0009';'Merja Elina                   ';'Mäkisalo-Ropponen            ';'terveystieteiden tohtori, työyhteisökouluttaja              ';'Pohjois-Karjalan vaalipiiri     ';'SDP ';'';'14809';'9022';'651';'0';'385';'0';'160';'1343';'407';'1082';'0';'1759';'14809';'10968';'0';'341';'X';'';'0';' ';'';'0';' ';'';'3500';' ';'';'0';' ';'';'0';''
'0104';'Kari Juhani                   ';'Kulmala                      ';'ylikonstaapeli                                              ';'Pohjois-Karjalan vaalipiiri     ';'PS  ';'';'8238,18';'3950,78';'';'';'751,25';'';'684,95';'1771,20';'';'303,00';'';'777,00';'8238,18';'963,18';'3000,00';'3753,00';'X';'';'522,00';'X';'';'0';'X';'';'0';'X';'';'0';'X';'';'';''
'0012';'Soile Hillevi                 ';'Syrjäläinen                  ';'sosiaalijohtaja                                             ';'Pohjois-Karjalan vaalipiiri     ';'SDP ';'';'14000';'7500';'400';'0,00';'200';'0,00';'700';'3000';'1000';'1000';'0,00';'200';'14000';'7600';'0,00';'1600';'X';'';'1400';'X';'';'0,00';'X';'';'3400';' ';'Lieksan sos,dem, kunnallisjärjestö ry 1000 euroa ja Pankakosken Työväenyhdistys ry 400';'0,00';'X';'';'0,00';''
'0024';'Hannu Tapio                   ';'Hoskonen                     ';'Metsänhoidonneuvoja                                              ';'Pohjois-Karjalan vaalipiiri     ';'KESK';'Varmasti maakunnan puolella ry';'54373';'22056';'589';'8085';'2614';'';'1018';'2676';'3834';'4916';'3500';'5085';'54373';'28296';'';'1700';'X';'';'19127';' ';'';'';' ';'';'3000';' ';'';'2250';' ';'';'';'Kohdan C Muut kulut: Oman auton kulut 10000 km á 0,2 €, mainosjakelu 3085.'
