,Ehdokasnumero,Etunimet,Sukunimi,Arvo/ammatti/tehtava,municipality,party,Ehdokkaan mahdollisen tukiryhman nimi,total_expenses,sl_newspapers_periodicals,sl_radio,sl_television,sl_information_networks,sl_other_media,sl_outdoor_advertising,sl_printed_material_procurement,sl_advertising_planning,sl_rallies,sl_fundraising,sl_other,total_raised,tf_self_funding,tf_loans,tf_private_individuals,"2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta (""x"")",2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti,tf_companies,"2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta (""x"")",2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti,tf_party,"2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta (""x"")",2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti,tf_party_associations,"2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta (""x"")",2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti,tf_others,"2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta (""x"")",2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti,2.8 Rahoitus sisaltaa valitettya tukea yhteensa,E. vapaaehtoinen erittely,LR_cand-id,Election type,Electoral district / county number,Municipality number,Area type,Voting area identifier,Abbreviation for an electoral district / a county in Finnish,Abbreviation for an electoral district / a county in Swedish,Permanent party identifier,Standard party number,List order number,Electoral alliance number,Abbreviated name of a political party/group in Finnish,Abbreviated name of a political party/group in Swedish,Abbreviated name of a political party/group in English,Candidate number,Name of a municipality/electoral district/voting area in Finnish,Name of a municipality/electoral district/voting area in Swedish,A person’s first name,A person’s last name,Gender,age,Profession,Code for place of residence,The name of a place of residence in Finnish,The name of a place of residence in Swedish,Candidate’s language,Member of the European Parliament,Member of Parliament,Municipal councillor,County councillor,Abbreviated name of the first comparison election,Number of votes in the first comparison election,Number of votes cast in advance,Number of votes cast on election day,Total number of votes,Percentage (%) of votes cast in advance,Percentage (%) of votes on election day,vote_prct,Elected information,Comparative index,Position,Final position,Calculation status,Calculation phase,Latest update,year,Saapumispaiva,Muokkauspaiva,LR_incumbency,own_fund_prct,full_name,total_raised_per_1k,num_candidates_in_municipality,normalized_vote_prct,incumbency_County,incumbency_European Parliament,incumbency_Municipal,incumbency_None,incumbency_Parliament
556,25,Outi,Alanko-Kahiluoto,"kansanedustaja, tutkija",Helsingin vaalipiiri,VIHR,,52132.41,10077.07,,,7959.4,,23955.84,6474.33,1650.0,459.5,,1556.27,52132.41,45628.22,,4398.4,X,,,X,,,X,,824.0,X,,1281.79,X,"Olen saanut vaalitukea 1000 euroa Palvelualojen ammattiliitolta. Yksityishenkilöiltä saatuun tukeen sisältyy 281,79e tuloja, jotka on saatu myymällä yksityishenkilöiden lahjoittamia tavaroita tukiryhmän järjestämässä vaalitilaisuudessa sekä kirpputorilla (Kirpputori Kahdeksas Aisti). ",,,25-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,13,5,2,2,VIHR  ,GRÖNA ,GREEN ,25,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Outi                                              ,Alanko-Kahiluoto                                  ,2,52,"kansanedustaja, tutkija                                                                                                                                                                                 ",91,Helsinki                                ,Helsingfors                             ,FI, ,1, , ,EKV-2015  ,0007884,2422,3539,5961,13,17,1.5,1,18132400,16,16,V,T,20190417181730,2019,16.6.2019,1.8.2019,European Parliament,0.8752371125754592,Outi Alanko-Kahiluoto,52.13241,286,0.8719512195121951,False,True,False,False,False
557,26,Fatim,Diarra,yhteiskunnallisen viestinnän asiantuntija,Helsingin vaalipiiri,VIHR,Fatim Diarran kannatusyhdistys,31507.0,1836.97,0.0,0.0,7639.92,0.0,9976.8,1394.65,9375.9,449.05,0.0,833.71,31507.0,4400.0,0.0,19430.0,,Kampanja sisältää 1000 euroa tukea Minerva Krohnilta. Kampanjan vastikkeellinen tukisuoritukset ovat sosiaalisen median markkinointia sekä graafisen viestinnän tuotantoa. ,2295.0,X,,0.0,X,,2082.0,X,"Kampanja sisältää 1120 euroa tukea Helsingin Vihreä seura ry:ltä,",3300.0,X,,0,,26-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,13,5,2,2,VIHR  ,GRÖNA ,GREEN ,26,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Fatim                                             ,Diarra                                            ,2,32,yhteiskunnallisen viestinnän asiantuntija                                                                                                                                                               ,91,Helsinki                                ,Helsingfors                             ,FI, , ,1, ,EKV-2015  ,0000000,2246,2306,4552,12,11,1.2,2,12951714,25,25,V,T,20190417181730,2019,16.6.2019,,Municipal,0.13965150601453646,Fatim Diarra,31.507,286,0.697560975609756,False,False,True,False,False
558,27,Pekka,Haavisto,"kansanedustaja, puolueen puheenjohtaja",Helsingin vaalipiiri,VIHR,,26719.2,4126.0,,,550.0,,18670.0,545.6,1955.6,,,872.0,26719.2,5344.67,,7644.55,,,6085.98,X,,,,,144.0,X,,7500.0,X,,,,27-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,13,5,2,2,VIHR  ,GRÖNA ,GREEN ,27,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Pekka                                             ,Haavisto                                          ,1,61,"kansanedustaja, puolueen puheenjohtaja                                                                                                                                                                  ",91,Helsinki                                ,Helsingfors                             ,FI, ,1, , ,EKV-2015  ,0014204,9789,10374,20163,53,51,5.2,1,90662000,1,1,V,T,20190417181730,2019,17.6.2019,10.9.2019,European Parliament,0.20003106380430552,Pekka Haavisto,26.7192,286,3.0227642276422766,False,True,False,False,False
559,28,Atte,Harjanne,"tutkija, diplomi-insinööri",Helsingin vaalipiiri,VIHR,,43267.0,2337.0,620.0,0.0,26739.0,0.0,7511.0,2199.0,2168.0,250.0,812.0,631.0,43267.0,23077.0,0.0,19546.0,,,0.0,X,,0.0,X,,144.0,X,"Tuki: Helsingin Vihreä Seura ry, 144 e",500.0,X,"Tuki: Tekniikan Akateemiset ry, 500 e",0,,28-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,13,5,2,2,VIHR  ,GRÖNA ,GREEN ,28,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Atte                                              ,Harjanne                                          ,1,34,"tutkija, diplomi-insinööri                                                                                                                                                                              ",91,Helsinki                                ,Helsingfors                             ,FI, , ,1, ,EKV-2015  ,0000000,2026,2769,4795,11,14,1.2,1,15110333,20,20,V,T,20190417181730,2019,14.6.2019,,Municipal,0.5333626089167264,Atte Harjanne,43.267,286,0.697560975609756,False,False,True,False,False
560,30,Mari,Holopainen,"kauppatieteiden maisteri, väitöskirjatutkija",Helsingin vaalipiiri,VIHR,,32546.11,1216.26,,,11910.53,,6280.0,2451.6,8563.52,300.0,,1824.2,32546.11,29595.31,,2025.0,X,,49.8,X,,,X,,876.0,X,,,X,,,"Muut kulut sisältävät Vihreiden ehdokasmaksun, kampanjan valokuvia ja käännöstyön. Puolueyhdistyksiltä saatu tuki (876 euroa) Helsingin Vihreä seura ry. ",30-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,13,5,2,2,VIHR  ,GRÖNA ,GREEN ,30,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Mari                                              ,Holopainen                                        ,2,38,"kauppatieteiden maisteri, väitöskirjatutkija                                                                                                                                                            ",91,Helsinki                                ,Helsingfors                             ,FI, , ,1, ,EKV-2015  ,0003594,3017,4077,7094,16,20,1.8,1,30220667,8,8,V,T,20190417181730,2019,16.6.2019,16.8.2019,Municipal,0.9093347868608568,Mari Holopainen,32.54611,286,1.0463414634146342,False,False,True,False,False
561,33,Emma,Kari,"kansanedustaja, filosofian maisteri",Helsingin vaalipiiri,VIHR,,30551.66,190.0,,,13348.22,,12980.0,789.99,1340.32,1251.86,,651.27,30551.66,16194.91,,12082.75,,Lahjoituksia saatiin 121 eri henkilöltä. Tyypillisin lahjoitussumma oli 50 euroa.,1398.0,X,,,,,876.0,X,,,,,,,33-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,13,5,2,2,VIHR  ,GRÖNA ,GREEN ,33,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Emma                                              ,Kari                                              ,2,35,"kansanedustaja, filosofian maisteri                                                                                                                                                                     ",91,Helsinki                                ,Helsingfors                             ,FI, ,1,1, ,EKV-2015  ,0004647,3294,3422,6716,18,17,1.7,1,22665500,12,12,V,T,20190417181730,2019,8.6.2019,,European Parliament,0.5300828171038824,Emma Kari,30.55166,286,0.9882113821138211,False,True,False,False,False
562,37,Maria,Ohisalo,"puolueen varapuheenjohtaja, köyhyystutkija",Helsingin vaalipiiri,VIHR,,50692.0,1977.0,,,16558.0,5030.0,10190.0,1234.0,10490.0,2434.0,348.0,2431.0,50692.0,2000.0,0.0,30116.0,,"Ilmoitettu tukisumma sisältää vaalivideon tuottamiseen käytettyä vapaaehtoistyötä 6200 euron arvosta (tuotantoryhmä: Jani Ilomäki, Mikko Parttimaa, Anni Mattila, Henry Kaprali, Juho Piiroinen).Muilta osin ilmoitettu rahoitus koostuu n. 320 yksittäisestä lahjoituksesta (keskisuuruus n. 75 euroa).",8200.0,,Loppuosa yrityksiltä saadusta rahoituksesta koostuu kahdesta seminaarilipusta á 600 euroa.,0.0,X,,1176.0,X,,9200.0,,Loppuosa muilta tahoilta saadusta tuesta koostuu seitsemästä seminaarilipusta á 600 euroa.,0,,37-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,13,5,2,2,VIHR  ,GRÖNA ,GREEN ,37,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Maria                                             ,Ohisalo                                           ,2,34,"puolueen varapuheenjohtaja, köyhyystutkija                                                                                                                                                              ",91,Helsinki                                ,Helsingfors                             ,FI, , ,1, ,EKV-2015  ,0004087,5301,6596,11897,29,33,3.1,1,45331000,5,5,V,T,20190417181730,2019,5.5.2019,,Municipal,0.039453957231910364,Maria Ohisalo,50.692,286,1.8020325203252032,False,False,True,False,False
563,98,Jussi,Halla-aho,"filosofian tohtori, Euroopan parlamentin jäsen",Helsingin vaalipiiri,PS,,307.52,,,,,,,307.52,,,,,307.52,307.52,,,X,,,X,,,X,,,X,,,X,,,,98-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,23,2,10,6,PS    ,SAF   ,FINNS ,98,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Jussi                                             ,Halla-aho                                         ,1,47,"filosofian tohtori, Euroopan parlamentin jäsen                                                                                                                                                          ",91,Helsinki                                ,Helsingfors                             ,FI,1, ,1, ,EKV-2015  ,0000000,14265,16331,30596,78,81,7.9,1,47276000,4,4,V,T,20190417181730,2019,10.6.2019,,Parliament,1.0,Jussi Halla-aho,0.30751999999999996,286,4.592276422764228,False,False,False,False,True
564,107,Tom,Packalén,"kansanedustaja, komisario",Helsingin vaalipiiri,PS,,4243.0,1723.0,,,,1500.0,,520.0,,,,500.0,4243.0,2748.0,,1495.0,X,,,X,,,X,,,X,,,X,,,,107-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,23,2,10,6,PS    ,SAF   ,FINNS ,107,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Tom                                               ,Packalén                                          ,1,49,"kansanedustaja, komisario                                                                                                                                                                               ",91,Helsinki                                ,Helsingfors                             ,FI, ,1, , ,EKV-2015  ,0005089,833,1195,2028,5,6,0.5,1,15758667,19,19,V,T,20190417181730,2019,14.6.2019,17.9.2019,European Parliament,0.6476549611124205,Tom Packalén,4.243,286,0.29065040650406504,False,True,False,False,False
565,109,Mika,Raatikainen,"kansanedustaja, rikosylikonstaapeli",Helsingin vaalipiiri,PS,Mika Raatikaisen tukiyhdistys,13065.1,10847.45,,,,,632.31,1401.2,,184.14,,,13065.1,10766.1,,800.0,X,,1499.0,X,,,X,,,X,,,X,,,,109-Helsingin vaalipiiri-V-2019,E   ,1,***,V,****,HEL,HEL,23,2,10,6,PS    ,SAF   ,FINNS ,109,Helsingin vaalipiiri                    ,Helsingfors valkrets                    ,Mika                                              ,Raatikainen                                       ,1,57,"kansanedustaja, rikosylikonstaapeli                                                                                                                                                                     ",91,Helsinki                                ,Helsingfors                             ,FI, ,1,1, ,EKV-2015  ,0003370,845,1009,1854,5,5,0.5,2,11819000,27,27,V,T,20190417181730,2019,3.6.2019,,European Parliament,0.8240350246075422,Mika Raatikainen,13.065100000000001,286,0.29065040650406504,False,True,False,False,False
