,Ehdokasnumero,Etunimet,Sukunimi,Arvo/ammatti/tehtava,municipality,party,Ehdokkaan mahdollisen tukiryhman nimi,total_expenses,sl_newspapers_periodicals,sl_radio,sl_television,sl_information_networks,sl_other_media,sl_outdoor_advertising,sl_printed_material_procurement,sl_advertising_planning,sl_rallies,sl_fundraising,sl_other,total_raised,tf_self_funding,tf_loans,tf_private_individuals,"2.3 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yksityishenkilolta (""x"")",2.3 Rahoitus sisaltaa yksityishenkiloilta saatua tukea yhteensa lisatietokentan teksti,tf_companies,"2.4 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta yrityksilta (""x"")",2.4 Rahoitus sisaltaa yrityksilta saatua tukea yhteensa lisatietokentan teksti,tf_party,"2.5 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueelta (""x"")",2.5 Rahoitus sisaltaa puolueelta saatua tukea yhteensa lisatietokentan teksti,tf_party_associations,"2.6 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta puolueyhdistyksilta (""x"")",2.6 Rahoitus sisaltaa puolueyhdistyksilta saatua tukea yhteensa lisatietokentan teksti,tf_others,"2.7 Ei sisalla yhtaan vahintaan 1500 euron tukisuoritusta muilta tahoilta (""x"")",2.7 Rahoitus sisaltaa muilta tahoilta saatua tukea yhteensa lisatietokentan teksti,2.8 Rahoitus sisaltaa valitettya tukea yhteensa,E. vapaaehtoinen erittely,LR_cand-id,Election type,Electoral district / county number,Municipality number,Area type,Voting area identifier,Abbreviation for an electoral district / a county in Finnish,Abbreviation for an electoral district / a county in Swedish,Permanent party identifier,Standard party number,List order number,Electoral alliance number,Abbreviated name of a political party/group in Finnish,Abbreviated name of a political party/group in Swedish,Abbreviated name of a political party/group in English,Candidate number,Name of a municipality/electoral district/voting area in Finnish,Name of a municipality/electoral district/voting area in Swedish,A person’s first name,A person’s last name,Gender,age,Profession,Code for place of residence,The name of a place of residence in Finnish,The name of a place of residence in Swedish,Candidate’s language,Member of the European Parliament,Member of Parliament,Municipal councillor,County councillor,Abbreviated name of the first comparison election,Number of votes in the first comparison election,Number of votes cast in advance,Number of votes cast on election day,Total number of votes,Percentage (%) of votes cast in advance,Percentage (%) of votes on election day,vote_prct,Elected information,Comparative index,Position,Final position,Calculation status,Calculation phase,Latest update,year,Saapumispaiva,Muokkauspaiva,LR_incumbency,own_fund_prct,full_name,total_raised_per_1k,num_candidates_in_municipality,normalized_vote_prct,incumbency_County,incumbency_European Parliament,incumbency_Municipal,incumbency_None,incumbency_Parliament
0,161,Laila Margit                  ,Koskela                      ,sairaanhoitaja                                              ,Pirkanmaan vaalipiiri           ,Other,Laila Koskelan tukiyhdistys,4640.39,3591.33,,,39.0,,295.06,405.0,,310.0,,,4640.39,4222.09,,118.3,X,,, ,,, ,,300.0,X,,, ,,,,161-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,161,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Laila                                             ,Koskela                                           ,2,62,sairaanhoitaja                                                                                                                                                                                          ,837,Tampere                                 ,Tammerfors                              ,  , , ,1, ,          ,0000000,5063,4109,9172,38,29,3.3,1,57844000,3,3,V,T,20131212175905,2011,,,Municipal,0.9098567146295893,Laila Margit                   Koskela                      ,4.64039,207,1.3884146341463413,False,False,True,False,False
1,163,Heikki Pekka                  ,Luoto                        ,ohjelmistosuunnittelija                                     ,Pirkanmaan vaalipiiri           ,Other,,5795.25,3936.0,0.0,0.0,147.6,0.0,279.69,1370.5,0.0,40.0,0.0,21.46,5850.51,3456.61,0.0,2143.9,X,,0.0,X,,0.0,X,,0.0,X,,250.0,X,,0,,163-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,163,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Heikki                                            ,Luoto                                             ,1,41,ohjelmistosuunnittelija                                                                                                                                                                                 ,837,Tampere                                 ,Tammerfors                              ,  , , ,1, ,          ,0000000,1981,2201,4182,15,16,1.5,2,11568800,20,20,V,T,20131212175905,2011,,,Municipal,0.5908219967148163,Heikki Pekka                   Luoto                        ,5.85051,207,0.6310975609756098,False,False,True,False,False
2,89,Pauli Antero                  ,Kiuru                        ,"FM, MBA, kansanedustaja",Pirkanmaan vaalipiiri           ,Other,,82029.73,35498.92,8610.0,6421.92,3521.25,,10923.64,3224.17,7238.55,3555.08,2842.2,194.0,82029.73,60508.34,,2606.0,X,,6399.0,X,,,X,,12516.39, ,,,X,,,2.1. Omat varat ovat palkinto- ja starttirahoja urheilu-uraltani vuodelta 1992 sekä niistä kertyneitä sijoitustuottoja.  Vuonna 1992 kilpailin muun muassa Havaijin ja Australian Ironman triathlon-kisoissa.       Lisäkommentteja: www.paulikiuru.fi/vaalirahoitus,89-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,89,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Pauli                                             ,Kiuru                                             ,1,48,"filosofian maisteri, Master of Business Administration                                                                                                                                                  ",908,Valkeakoski                             ,Valkeakoski                             ,  , , ,1, ,          ,0000000,2405,2935,5340,18,21,1.9,1,15258500,13,13,V,T,20131212175905,2011,,,Municipal,0.7376391461973604,Pauli Antero                   Kiuru                        ,82.02973,207,0.799390243902439,False,False,True,False,False
3,165,Lea Kaarina                   ,Mäkipää                      ,merkonomi                                                   ,Pirkanmaan vaalipiiri           ,Other,Pirkanmaan puolesta,63799.53,11216.75,,,20.0,22432.4,2438.9,16857.75,1103.7,2346.1,,7383.93,63799.53,35545.53,,1968.0,X,,25710.0,X,,,X,,576.0,X,,,X,,,,165-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,165,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Lea                                               ,Mäkipää                                           ,2,63,merkonomi                                                                                                                                                                                               ,250,Kihniö                                  ,Kihniö                                  ,  , , ,1, ,          ,0000000,5216,3818,9034,39,27,3.3,1,28922000,6,6,V,T,20131212175905,2011,,,Municipal,0.5571440730049265,Lea Kaarina                    Mäkipää                      ,63.79953,207,1.3884146341463413,False,False,True,False,False
4,178,Saara Elina                   ,Karhu                        ,"kansanedustaja, tv-toimittaja                               ",Pirkanmaan vaalipiiri           ,Other,Parempaa elämää Pirkanmaalla ry,14842.68,13784.73,,,10.0,,,1047.95,,,,,14842.68,9385.65,0.0,305.0,X,,0.0, ,,0.0, ,,0.0, ,"Selvennykseksi mainittakoon, että oman puolueyhdistykseni, Tampereen Työväenyhdistyksen, vaalituki oli nolla euroa",5152.03, ,"Tukiryhmäni Parempaa elämää Pirkanmaalla ry sai vaalia varten tukea lukuisilta eri tahoilta erikokoisia, pääasiassa pieniä summia, jotka tätä yhtä summaa lukuunottamatta jäävät alle 1500 euron, ",0,,178-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,1,3,14,12,SDP   ,SDP   ,SDP   ,178,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Saara                                             ,Karhu                                             ,2,53,"kansanedustaja, tv-toimittaja                                                                                                                                                                           ",837,Tampere                                 ,Tammerfors                              ,  , ,1, , ,          ,0000000,4187,4140,8327,32,29,3.0,1,29600500,5,5,V,T,20131212175905,2011,,,European Parliament,0.6323420029266952,Saara Elina                    Karhu                        ,14.84268,207,1.2621951219512195,False,True,False,False,False
5,190,Pia-Liisa                     ,Viitanen                     ,kansanedustaja                                              ,Pirkanmaan vaalipiiri           ,Other,Pirkanpi ry.,36170.0,13522.0,0.0,13998.0,411.0,0.0,959.0,2326.0,1290.0,302.0,0.0,3362.0,36170.0,22995.0,0.0,2260.0,X,,0.0, ,,0.0, ,,3350.0, ,,7565.0, ,"Pirkanpi on kerännyt varoja koko vaalikauden erilaisilla myynneillä (teatterinäytökset, vihdat, Pia-nuket jne), Summa muodostuu 4 vuoden varainhankinnan tuloksena, Pirkanpin saamat summat ovat pieniä eivätkä ylitä 1500 euroa, Loppu summa sisältää useammalta eri yhdistykseltä tulleita tukia, joista yksikään ei ole yli 1500 euroa,",0,,190-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,1,3,14,12,SDP   ,SDP   ,SDP   ,190,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Pia                                               ,Viitanen                                          ,2,44,kansanedustaja                                                                                                                                                                                          ,837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,4035,3695,7730,30,26,2.8,1,19733667,11,11,V,T,20131212175905,2011,,,European Parliament,0.6357478573403373,Pia-Liisa                      Viitanen                     ,36.17,207,1.1780487804878046,False,True,False,False,False
6,94,Arto Olavi                    ,Satonen                      ,kansanedustaja                          ,Pirkanmaan vaalipiiri           ,Other,,89677.81,27201.61,,,4575.6,,7137.2,13620.1,15616.7,8401.35,1298.33,11826.92,89677.81,76078.49,,3843.54,X,,6755.78,X,,, ,,2000.0, ,,1000.0,X,,,,94-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,94,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Arto                                              ,Satonen                                           ,1,44,"kansanedustaja, opettaja                                                                                                                                                                                ",790,Sastamala                               ,Sastamala                               ,  , ,1,1, ,          ,0000000,3815,3206,7021,29,23,2.6,1,30517000,4,4,V,T,20131212175905,2011,,,European Parliament,0.8483535670641378,Arto Olavi                     Satonen                      ,89.67781,207,1.0939024390243903,False,True,False,False,False
7,86,Harri Matti                   ,Jaskari                      ,"kansanedustaja, hallintotieteiden lisensiaatti              ",Pirkanmaan vaalipiiri           ,Other,,51770.5,20862.18,2790.01,0.0,2642.28,0.0,6965.0,1918.64,7201.48,8104.8,0.0,1286.11,51770.5,1470.5,0.0,3000.0,X,,44800.0,X,,0.0, ,,2500.0, ,"Tampereen Harjun kokoomus ry, on maksanut Aamulehden lehti-ilmoituksia 2500 euron edestä,",0.0, ,,0,"Muut kulut sisältää postikulut 357,24 euroa, vaalirahoitusopas 49 euroa, puhelinkulut 161,32 euroa, matkakulut 268,55 euroa ja mainosjakelu 450 euroa.",86-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,86,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Harri                                             ,Jaskari                                           ,1,47,"kansanedustaja, hallintotieteiden lisensiaatti                                                                                                                                                          ",837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,2204,2352,4556,17,17,1.7,1,12206800,18,18,V,T,20131212175905,2011,,,European Parliament,0.028404207029099585,Harri Matti                    Jaskari                      ,51.7705,207,0.7152439024390244,False,True,False,False,False
8,205,Arto Väinö Uolevi             ,Pirttilahti                  ,kansanedustaja                                ,Pirkanmaan vaalipiiri           ,KESK,,66295.0,11922.0,3541.0,,332.0,,20611.0,14651.0,6027.0,5586.0,3625.0,,66295.0,1163.0,50000.0,8932.0, ,,6200.0,X,,, ,,, ,,, ,,,,205-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,2,1,15,13,KESK  ,CENT  ,CENT  ,205,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Arto                                              ,Pirttilahti                                       ,1,48,"toiminnanjohtaja, agrologi                                                                                                                                                                              ",508,Mänttä-Vilppula                         ,Mänttä-Vilppula                         ,  , , ,1, ,          ,0000000,3132,2384,5516,24,17,2.0,1,28597000,7,7,V,T,20131212175905,2011,,,Municipal,0.01754280111622294,Arto Väinö Uolevi              Pirttilahti                  ,66.295,207,0.8414634146341463,False,False,True,False,False
9,172,Pertti Olavi                  ,Virtanen                     ,kansanedustaja                                              ,Pirkanmaan vaalipiiri           ,Other,,2300.0,1600.0,200.0,,,,,300.0,200.0,,,,2300.0,2300.0,,,X,,,X,,,X,,,X,,,X,,,,172-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,172,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,"Pertti ""Veltto""                                   ",Virtanen                                          ,1,59,kansanedustaja                                                                                                                                                                                          ,837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,2939,3587,6526,22,25,2.4,1,19281333,12,12,V,T,20131212175905,2011,,,European Parliament,1.0,Pertti Olavi                   Virtanen                     ,2.3,207,1.0097560975609756,False,True,False,False,False
10,99,Maria Sofia Charlotta         ,Vikman                       ,"yhteiskuntatieteiden maisteri, kansanedustajan avustaja     ",Pirkanmaan vaalipiiri           ,Other,Eurooppalainen Tie ry.,38024.16,11491.39,,6003.28,270.95,2646.52,5153.21,4880.72,6000.0,1278.27,,299.82,38024.16,7418.33,,11598.82, ,,, ,,, ,,19007.01, ,,, ,,,Lisäksi vaaliesitteeni on ollut mukana puolueen nuorille äänestäjille suorittamassa postituksessa.,99-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,99,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Sofia                                             ,Vikman                                            ,2,27,"yhteiskuntatieteiden maisteri, kansanedustajan avustaja                                                                                                                                                 ",837,Tampere                                 ,Tammerfors                              ,  , , ,1, ,          ,0000000,3470,4809,8279,26,34,3.0,1,61034000,1,1,V,T,20131212175905,2011,,,Municipal,0.19509517107018273,Maria Sofia Charlotta          Vikman                       ,38.02416,207,1.2621951219512195,False,False,True,False,False
11,118,Oras                          ,Tynkkynen                    ,"kansanedustaja, yhteiskuntatieteiden maisteri               ",Pirkanmaan vaalipiiri           ,VIHR,,19205.5,7754.88,0.0,0.0,544.74,50.0,1500.0,2563.48,2122.06,186.5,81.1,4402.74,19205.5,15657.93,,3514.07,X,,,X,,,X,,33.5,X,,,X,,,"Vihreät ilmoittavat kaikki vähintään 1000 euron arvoiset lahjoitukset, mistä kerrotaan kaikille tukijoille tukea pyydettäessä tai vastaanotettaessa. Olen saanut 1000 euron arvoisen kirjalahjoituksen Varpu Tavilta vaalikampanjassani myytäväksi, ja hän on antanut suostumuksensa nimensä julkistamiseen. Kirjojen myynnistä saatu tulo on vielä erikseen esitetty tukena yksityishenkilöiltä tai puolueyhdistyksiltä siltä osin, kun myyntihinta on ylittänyt nimellishinnan.                   Ennakkorahoitusilmoituksen tekemisen jälkeen arvio lehtimainonnasta on täsmentynyt. Ilmoitettu luku sisältää kaikki kampanjan aikana toteutetut mainokset toteuman mukaan. Budjetin alittuminen ei johtanut kampanjan ylijäämään, vaan vähensi omien varojen käyttöä kampanjaan vastaavalla summalla.                  Lisätietoa vaalikampani taloudesta kotisivultani www.orastynkkynen.fi.",118-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,13,5,9,8,VIHR  ,GRÖNA ,GREEN ,118,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Oras                                              ,Tynkkynen                                         ,1,33,"kansanedustaja, yhteiskuntatieteiden maisteri                                                                                                                                                           ",837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,3196,4210,7406,24,30,2.7,1,22672000,9,9,V,T,20131212175905,2011,,,European Parliament,0.8152836427065164,Oras                           Tynkkynen                    ,19.2055,207,1.1359756097560978,False,True,False,False,False
12,174,Marko Tapio                   ,Asell                        ,kansanedustaja                                              ,Pirkanmaan vaalipiiri           ,Other,,40919.0,21087.41,3096.52,,2017.2,1000.0,2309.0,5000.4,615.0,1493.0,,4300.47,40919.0,14200.0,,6240.0,X,,9758.4,X,,3300.0, ,,5920.6, ,,1500.0,X,,500,,174-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,1,3,14,12,SDP   ,SDP   ,SDP   ,174,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Marko                                             ,Asell                                             ,1,40,kansanedustaja                                                                                                                                                                                          ,536,Nokia                                   ,Nokia                                   ,  , ,1,1, ,          ,0000000,2578,3262,5840,19,23,2.1,2,11840200,19,19,V,T,20131212175905,2011,,,European Parliament,0.3470270534470539,Marko Tapio                    Asell                        ,40.919,207,0.8835365853658538,False,True,False,False,False
13,93,Kimmo Kalevi Immeri           ,Sasi                         ,"kansanedustaja, varatuomari, diplomiekonomi       ",Pirkanmaan vaalipiiri           ,Other,Kimmo Sasin tukiryhmä,18742.81,14346.92,,,,,815.0,1774.89,1476.0,330.0,,,18742.81,2892.81,,6200.0, ,,8200.0, ,,, ,,, ,,1450.0,X,,,,93-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,93,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Kimmo                                             ,Sasi                                              ,1,59,"kansanedustaja, varatuomari                                                                                                                                                                             ",837,Tampere                                 ,Tammerfors                              ,  , ,1, , ,          ,0000000,3164,3000,6164,24,21,2.3,1,20344667,10,10,V,T,20131212175905,2011,,,European Parliament,0.15434238515996265,Kimmo Kalevi Immeri            Sasi                         ,18.742810000000002,207,0.9676829268292683,False,True,False,False,False
14,191,Mikko Tapio                   ,Alatalo                      ,"kansanedustaja, yrittäjä, taiteilija                                    ",Pirkanmaan vaalipiiri           ,KESK,,44625.0,19068.0,6096.0,,200.0,,10578.0,2286.0,,5044.0,,1353.0,44625.0,7975.0,35800.0,850.0,X,,,X,,,X,,,X,,,X,,,,191-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,2,1,15,13,KESK  ,CENT  ,CENT  ,191,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Mikko                                             ,Alatalo                                           ,1,59,"kansanedustaja, yrittäjä                                                                                                                                                                                ",837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,2031,2109,4140,15,15,1.5,1,14298500,16,16,V,T,20131212175905,2011,,,European Parliament,0.17871148459383754,Mikko Tapio                    Alatalo                      ,44.625,207,0.6310975609756098,False,True,False,False,False
15,69,Leena Maria                   ,Rauhala                      ,"kansanedustaja, sairaanhoidon opettaja                      ",Pirkanmaan vaalipiiri           ,Other,,24436.11,10226.65,7686.0,1850.0,710.94,,1893.48,1285.39,411.5,372.15,,,24436.11,23986.11,,150.0,X,,,X,,,X,,300.0,X,,,X,,,,69-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,9,6,5,4,KD    ,KD    ,CD    ,69,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Leena                                             ,Rauhala                                           ,2,69,"kansanedustaja, sairaanhoidon opettaja                                                                                                                                                                  ",837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,1990,1521,3511,15,11,1.3,1,13605000,17,17,V,T,20131212175905,2011,,,European Parliament,0.9815846302868991,Leena Maria                    Rauhala                      ,24.43611,207,0.5469512195121952,False,True,False,False,False
16,98,Marja Johanna                 ,Tiura                        ,hallintotieteiden maisteri             ,Pirkanmaan vaalipiiri           ,Other,,79350.33,31967.52,,9706.33,,,10120.1,5408.45,15162.82,6985.11,,,79350.33,23850.33,30000.0,14490.0, ,,11010.0,X,,, ,,, ,,, ,,,,98-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,4,2,8,7,KOK   ,SAML  ,NCP   ,98,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Marja                                             ,Tiura                                             ,2,41,"kansanedustaja, hallintotieteiden maisteri                                                                                                                                                              ",837,Tampere                                 ,Tammerfors                              ,  , ,1, , ,          ,0000000,2430,1997,4427,18,14,1.6,2,10172333,23,23,V,T,20131212175905,2011,,,European Parliament,0.3005700165330125,Marja Johanna                  Tiura                        ,79.35033,207,0.6731707317073171,False,True,False,False,False
17,175,Jukka Tapani                  ,Gustafsson                   ,kansanedustaja                                              ,Pirkanmaan vaalipiiri           ,Other,Jukka Gustafssonin tukiryhmä,25683.26,19895.87,,,,,1172.2,2872.43,,725.78,,1016.98,25684.0,9808.0,,910.0,X,,1000.0,X,Tuki yrityksiltä: Tradeka 1000€,0.0,X,,2500.0, ,,11466.0, ,"Ammattiliittojentuki yhteensä: 8050€                        Tukiryhmän järjestämän tukikonsertin tuotot yhteensä: 3185€,",0,,175-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,1,3,14,12,SDP   ,SDP   ,SDP   ,175,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Jukka                                             ,Gustafsson                                        ,1,64,kansanedustaja                                                                                                                                                                                          ,837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,3786,3007,6793,29,21,2.5,1,14800250,14,14,V,T,20131212175905,2011,,,European Parliament,0.3818719825572341,Jukka Tapani                   Gustafsson                   ,25.684,207,1.0518292682926829,False,True,False,False,False
18,201,Ari Veli                      ,Lamminmäki                   ,"liikennöitsijä, maanviljelijä                               ",Pirkanmaan vaalipiiri           ,KESK,,30004.95,16630.35,615.0,,930.0,,4928.2,2240.0,1560.0,2561.0,,540.4,30004.95,5684.95,,5140.0,X,,16180.0,X,,, ,,3000.0, ,,, ,,,,201-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,2,1,15,13,KESK  ,CENT  ,CENT  ,201,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Ari                                               ,Lamminmäki                                        ,1,52,"liikennöitsijä, maanviljelijä                                                                                                                                                                           ",581,Parkano                                 ,Parkano                                 ,  , , ,1, ,          ,0000000,1560,1165,2725,12,8,1.0,2,9532333,26,26,V,T,20131212175905,2011,,,Municipal,0.18946707126657433,Ari Veli                       Lamminmäki                   ,30.00495,207,0.42073170731707316,False,False,True,False,False
19,166,Martti Kullervo               ,Mölsä                        ,"rakennusmestari, yrittäjä                                   ",Pirkanmaan vaalipiiri           ,Other,Martti Mölsän tukiyhdistys,23854.0,5882.0,5141.0,8158.0,120.0,,96.0,2244.0,1713.0,300.0,,200.0,23854.0,16354.0,,3450.0,X,,4050.0,X,,,X,,,X,,,X,,,,166-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,23,8,13,11,PS    ,SAF   ,TF    ,166,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Martti                                            ,Mölsä                                             ,1,59,"rakennusmestari, yrittäjä                                                                                                                                                                               ",619,Punkalaidun                             ,Punkalaidun                             ,  , , ,1, ,          ,0000000,1710,2713,4423,13,19,1.6,1,14461000,15,15,V,T,20131212175905,2011,,,Municipal,0.6855873228808586,Martti Kullervo                Mölsä                        ,23.854,207,0.6731707317073171,False,False,True,False,False
20,27,Anna Liisa                    ,Kontula                      ,tutkija                                                     ,Pirkanmaan vaalipiiri           ,Other,,26114.14,8335.86,0.0,0.0,1149.03,0.0,12821.0,3027.3,0.0,780.95,0.0,0.0,26114.14,15932.31,0.0,5931.83,X,,0.0,X,,0.0,X,,1250.0,X,"Tukea tuli Vasemmistonaisilta 1000e ja Mouhijärven vasemmistoliitolta 250e,",3000.0,X,"Luku sisältää useita pieniä summia ammattiliittojen jäsenjärjestöiltä,",0,,27-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,15,4,3,2,VAS   ,VÄNST ,LEFT  ,27,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Anna                                              ,Kontula                                           ,2,34,tutkija                                                                                                                                                                                                 ,837,Tampere                                 ,Tammerfors                              ,  , , ,1, ,          ,0000000,1964,2298,4262,15,16,1.6,1,22817000,8,8,V,T,20131212175905,2011,,,Municipal,0.6101028025429901,Anna Liisa                     Kontula                      ,26.11414,207,0.6731707317073171,False,False,True,False,False
21,104,Anna-Kaisa                    ,Heinämäki                    ,"ylikonstaapeli, yhteiskuntatieteiden maisteri               ",Pirkanmaan vaalipiiri           ,VIHR,,11071.67,5997.91,,,,,1975.6,1014.75,1062.01,96.8,390.6,534.0,11071.67,5424.59,,5417.08, ,,,X,,,X,,230.0,X,,,X,,,"Yksityinen tuki Juha-Matti Huhdalta 1396,80 euroa             Vihreiden naisten vaalituki 230 euroa",104-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,13,5,9,8,VIHR  ,GRÖNA ,GREEN ,104,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Anna-Kaisa                                        ,Heinämäki                                         ,2,33,"ylikonstaapeli, yhteiskuntatieteiden maisteri                                                                                                                                                           ",837,Tampere                                 ,Tammerfors                              ,  , , ,1, ,          ,0000000,825,1383,2208,6,10,0.8,2,11336000,22,22,V,T,20131212175905,2011,,,Municipal,0.4899522836211701,Anna-Kaisa                     Heinämäki                    ,11.07167,207,0.33658536585365856,False,False,True,False,False
22,36,Minna Maaria                  ,Sirnö                        ,"kansanedustaja, filosofian maisteri                         ",Pirkanmaan vaalipiiri           ,Other,,21480.68,10754.01,,,774.9,,,3626.55,922.5,1000.77,,4401.95,21480.68,14335.68,,1485.0,X,,1000.0,X,,,X,,1600.0,X,,3060.0,X,,,,36-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,15,4,3,2,VAS   ,VÄNST ,LEFT  ,36,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Minna                                             ,Sirnö                                             ,2,44,"kansanedustaja, filosofian maisteri                                                                                                                                                                     ",837,Tampere                                 ,Tammerfors                              ,  , ,1,1, ,          ,0000000,2306,1921,4227,17,14,1.5,2,11408500,21,21,V,T,20131212175905,2011,,,European Parliament,0.667375520700462,Minna Maaria                   Sirnö                        ,21.48068,207,0.6310975609756098,False,True,False,False,False
23,70,Marco Ilmari Alfred           ,Roth                         ,"terveystieteiden maisteri, projektipäällikkö                ",Pirkanmaan vaalipiiri           ,Other,,16170.0,7290.0,610.0,,50.0,,,1500.0,500.0,2620.0,,3600.0,16170.0,13810.0,,1860.0,X,,500.0,X,,, ,,, ,,, ,,,,70-Pirkanmaan vaalipiiri-V-2011,E   ,7,***,V,****,PIR,BIR,9,6,5,4,KD    ,KD    ,CD    ,70,Pirkanmaan vaalipiiri                   ,Birkalands valkrets                     ,Marco                                             ,Roth                                              ,1,39,"terveystieteiden maisteri, projektipäällikkö                                                                                                                                                            ",837,Tampere                                 ,Tammerfors                              ,  , , ,1, ,          ,0000000,1132,1146,2278,9,8,0.8,2,6802500,36,36,V,T,20131212175905,2011,,,Municipal,0.8540507111935683,Marco Ilmari Alfred            Roth                         ,16.17,207,0.33658536585365856,False,False,True,False,False
